study_id,stratum,metabolite,refmet_name,log2fc,p_value,n_pairs,mean_pre,mean_post,fdr,neg_log10_p
ST003662,all,Lactic acid,Lactic acid,3.6099593951850197,1.862100212118127e-29,79,2513.7910955913294,12793.612717063292,3.4138503888832326e-28,28.729996950422986
ST003662,all,Indolelactic acid,Indolelactic acid,-0.039252382378493385,0.6260505016005222,118,3.7845857437966104,5.378846863796611,0.722365963385218,0.20339063215411762
ST003662,f,Lactic acid,Lactic acid,3.339236585865474,5.53884215074374e-12,34,2899.1591173944116,12057.196484941176,9.969915871338732e-11,11.256581011462414
ST003662,f,Indolelactic acid,Indolelactic acid,-0.041632793769577105,0.654789693943449,54,3.444705527074074,4.844436948870372,0.8287182063971776,0.1838981647804291
ST003662,m,Lactic acid,Lactic acid,3.81450551778201,7.860813156396625e-19,45,2222.624145784556,13350.016092444444,2.1486222627484108e-17,18.104532526343583
ST003662,m,Indolelactic acid,Indolelactic acid,-0.03724391026726649,0.7694980139155979,64,4.07135967665625,5.829755229515625,0.83574618729906,0.11379249675077349
