query_refmet_name,match_basis,review_status,decision_scope,harmonization_eligibility,study_id,analysis_id,study_title,species,sample_source,analysis_type,polarity,chromatography,disease,refmet_name,refmet_id,inchi_key,pubchem_cid,super_class,main_class,sub_class,study_link,source_system,provenance_url
N-Lactoyl histidine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003546,AN005827,Improved Soil Health and Pasture Phytochemical Richness Underlies Improved Beef Nutrient Density in Southern US Grass-Finished Beef Systems,Cow,Muscle,Other,NEGATIVE,Reversed phase,,N-Lactoyl histidine,,ZLMAUACYYVAOQD-FSPLSTOPSA-N,171117872,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003546,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20histidine
N-Lactoyl histidine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST002978,AN004893,Metabolite Profiling Of Vaginal Microbes In Suspension And Biofilm Cultures: Potential Target Against Bacterial Vaginosis,Gardenerella vaginalis,Bacterial cells,LCMS,NEGATIVE,Reversed phase,Bacterial Vaginosis,N-Lactoyl histidine,,ZLMAUACYYVAOQD-FSPLSTOPSA-N,171117872,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST002978,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20histidine
N-Lactoyl histidine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004029,AN006659,ACC1 (Acetyl-CoA carboxylase 1) regulates plasma membrane cholesterol levels by controlling lipid droplet catabolism,Human,Cultured cells,LCMS,NEGATIVE,Reversed phase,Metabolic syndrome,N-Lactoyl histidine,,ZLMAUACYYVAOQD-FSPLSTOPSA-N,171117872,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004029,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20histidine
N-Lactoyl histidine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004318,AN007194,Metabolomic profiling of serum and stool reveals lipid and amino acid pathways associated with ALS progression rate and sex-specific differences,Human,Blood,LCMS,NEGATIVE,Reversed phase,ALS,N-Lactoyl histidine,,ZLMAUACYYVAOQD-FSPLSTOPSA-N,171117872,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004318,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20histidine
N-Lactoyl histidine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST004696,AN007934,Whey protein isolate enhances the growth and probiotic features of Lacticaseibacillus rhamnosus GG,Lacticaseibacillus rhamnosus,Culture media,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl histidine,,ZLMAUACYYVAOQD-FSPLSTOPSA-N,171117872,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST004696,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20histidine
N-Lactoyl histidine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003063,AN005018,Uncoupling Metabolic Health from Thermogenesis via BCAA Nitrogen Flux in Brown Fat - Serum metabolomics from control and MBC UCP1-KO,Mouse,Blood,LCMS,POSITIVE,HILIC,Diabetes,N-Lactoyl histidine,,ZLMAUACYYVAOQD-FSPLSTOPSA-N,171117872,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003063,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20histidine
N-Lactoyl histidine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST003277,AN005367,LC-MS/MS spatial analysis of mouse GI,Mouse,Blood,LCMS,NEGATIVE,Reversed phase,,N-Lactoyl histidine,,ZLMAUACYYVAOQD-FSPLSTOPSA-N,171117872,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003277,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20histidine
N-Lactoyl histidine,refmet_name_exact,requires_human_review,retrieval_only,requires_assay_identity_review,ST005022,AN008533,"Urine data of project ""Organ-Specific Transcriptional and Metabolic Remodelling During Late Mouse Adolescence""",Mouse,Urine,Other,NEGATIVE,Reversed phase,Metabolic disease,N-Lactoyl histidine,,ZLMAUACYYVAOQD-FSPLSTOPSA-N,171117872,Organic acids,Amino acids and peptides,Amino acids,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST005022,metabolomics_workbench_metstat,https://www.metabolomicsworkbench.org/rest/metstat/;;;;;;;N-Lactoyl%20histidine
