query_original,query_type,refmet_level,refmet_label,match_basis,match_confidence,review_status,n_class_rows,n_class_significant,n_class_up_significant,n_class_down_significant,class_significant_fraction,n_background_rows,n_background_significant,n_nonclass_background_rows,n_nonclass_background_significant,background_significant_fraction,enrichment_ratio,fisher_exact_p,source_systems,study_ids,source_files,example_metabolites,significance_threshold,interpretation,missing_evidence
all,enrichment,main_class,Ornithine alkaloids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,19,5,2,3,0.2631578947368421,1503,467,1484,462,0.3107119095143047,0.8469514256733911,0.7523321432749522,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,n-acetylputrescine; 2-Acetylpyrrolidine [metab-u-rppos]; acisoga; Acisoga [metab-u-hilicpos]; N-Acetylisoputreanine [metab-u-hilicpos]; n1-acetylspermidine; Pyrrolidine; N1-Acetylspermidine [metab-u-hilicpos],FDR<0.05,"Ornithine alkaloids has 5/19 annotated rows significant at FDR<0.05; enrichment ratio=0.85, one-sided Fisher p=7.52e-01.",
all,enrichment,main_class,Organic phosphoric acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,8,2,0,2,0.25,1503,467,1495,465,0.3107119095143047,0.8046038543897216,0.7660129871622328,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,sn-Glycero-3-phosphate [metab-u-ionpneg]; sn-Glycero-3-phosphocholine [metab-u-rppos]; glycerol 3-phosphate; sn-Glycero-3-phosphocholine [metab-u-hilicpos]; SN-GLYCERO-3-PHOSPHOCHOLINE; sn-glycero-3-phosphocholine,FDR<0.05,"Organic phosphoric acids has 2/8 annotated rows significant at FDR<0.05; enrichment ratio=0.80, one-sided Fisher p=7.66e-01.",
all,enrichment,main_class,Piperidines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,4,1,0,1,0.25,1503,467,1499,466,0.3107119095143047,0.8046038543897216,0.7746694374579546,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,2-Piperidinone [metab-u-rppos]; Nipecotic acid; 2-piperidinone,FDR<0.05,"Piperidines has 1/4 annotated rows significant at FDR<0.05; enrichment ratio=0.80, one-sided Fisher p=7.75e-01.",
all,enrichment,main_class,Sterols/Bile acids(In-silico),refmet_hierarchy_annotation,accepted_curated,accepted_curated,4,1,0,1,0.25,1503,467,1499,466,0.3107119095143047,0.8046038543897216,0.7746694374579546,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,ST 24:1;O5 [metab-u-lrpneg]; ST 24:2;O4 [metab-u-lrpneg]; ST 27:3;O3 [metab-u-lrpneg]; ST 24:5;O3 [metab-u-lrpneg],FDR<0.05,"Sterols/Bile acids(In-silico) has 1/4 annotated rows significant at FDR<0.05; enrichment ratio=0.80, one-sided Fisher p=7.75e-01.",
all,enrichment,main_class,Pyrimidines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,48,13,5,8,0.2708333333333333,1503,467,1455,454,0.3107119095143047,0.871654175588865,0.7754266359633958,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Cytidine [metab-u-rppos]; FAPy-adenine [metab-u-hilicpos]; Ectoine [metab-u-hilicpos]; 5-methylcytosine; N4-Acetylcytidine; Thiamine [metab-u-hilicpos]; Uracil; UDP-N-acetylglucosamine [metab-u-ionpneg],FDR<0.05,"Pyrimidines has 13/48 annotated rows significant at FDR<0.05; enrichment ratio=0.87, one-sided Fisher p=7.75e-01.",
all,enrichment,main_class,Bilirubins,refmet_hierarchy_annotation,accepted_curated,accepted_curated,13,3,3,0,0.23076923076923078,1503,467,1490,464,0.3107119095143047,0.7427112502058969,0.821098847810045,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Bilirubin [metab-u-rppos]; bilirubin [metab-u-lrppos]; Biliverdin [metab-u-rppos]; Bilirubin [metab-u-hilicpos]; L-Urobilin [metab-u-rppos]; Mesobilirubinogen [metab-u-rppos]; biliverdin; Biliverdin,FDR<0.05,"Bilirubins has 3/13 annotated rows significant at FDR<0.05; enrichment ratio=0.74, one-sided Fisher p=8.21e-01.",
all,enrichment,main_class,Guanidines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,5,1,0,1,0.2,1503,467,1498,466,0.3107119095143047,0.6436830835117774,0.8448691524051967,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Methylguanidine [metab-u-hilicpos]; beta-guanidinopropionate; methylguanidine,FDR<0.05,"Guanidines has 1/5 annotated rows significant at FDR<0.05; enrichment ratio=0.64, one-sided Fisher p=8.45e-01.",
all,enrichment,main_class,Tryptophan alkaloids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,38,9,0,9,0.23684210526315788,1503,467,1465,458,0.3107119095143047,0.7622562831060521,0.8818929518915903,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,3-Indolepropionic acid [metab-u-rppos]; Indolelactic acid [metab-u-rppos]; Indoleacetic acid [metab-u-rppos]; 5-Hydroxyindoleacetic acid [metab-u-rpneg]; 2-Oxindole; Indoleacetic acid [metab-u-hilicpos]; 2-(1H-indol-3-yl)acetic acid; Indole-3-methyl acetate [metab-u-rppos],FDR<0.05,"Tryptophan alkaloids has 9/38 annotated rows significant at FDR<0.05; enrichment ratio=0.76, one-sided Fisher p=8.82e-01.",
all,enrichment,main_class,Monosaccharides,refmet_hierarchy_annotation,accepted_curated,accepted_curated,23,5,1,4,0.21739130434782608,1503,467,1480,462,0.3107119095143047,0.6996555255562796,0.8884598359129593,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,"Hexose [metab-u-ionpneg]; D-(+)-Xylose; Glucose [metab-t-conv]; glucose; δ-Ribono-1,4-lactone; 2-Deoxy-glucose [metab-u-rppos]; Gluconic acid [metab-u-ionpneg]; 1,5-ANHYDRO-GLUCITOL",FDR<0.05,"Monosaccharides has 5/23 annotated rows significant at FDR<0.05; enrichment ratio=0.70, one-sided Fisher p=8.88e-01.",
all,enrichment,main_class,Bile acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,79,20,0,20,0.25316455696202533,1503,467,1424,447,0.3107119095143047,0.8147887133060473,0.8979990559708391,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Hyodeoxycholic acid [metab-u-rpneg]; Muricholic acid [metab-u-rpneg]; Glycohyodeoxycholic acid [metab-u-rpneg]; Glycodeoxycholic acid [metab-u-rpneg]; Taurohyodeoxycholic acid [metab-u-rpneg]; Ursodeoxycholic acid [metab-u-rpneg]; Cholic acid [metab-u-rpneg]; Hyocholic acid [metab-u-rpneg],FDR<0.05,"Bile acids has 20/79 annotated rows significant at FDR<0.05; enrichment ratio=0.81, one-sided Fisher p=8.98e-01.",
all,enrichment,main_class,Fatty acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,228,63,51,12,0.27631578947368424,1503,467,1275,404,0.3107119095143047,0.8892989969570608,0.9034211432553232,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,2-Hydroxybutyric acid [metab-u-rpneg]; 3-Hydroxybutyric acid [metab-u-rpneg]; Heptadecanedioic acid [metab-u-rpneg]; Aminobutyric acid [metab-u-hilicpos]; Hydroxydecanoic acid [metab-u-rpneg]; Adipic acid [metab-u-rppos]; FA 16:1;O2 [metab-u-lrpneg]; FA 20:5;O3 [metab-u-lrpneg],FDR<0.05,"Fatty acids has 63/228 annotated rows significant at FDR<0.05; enrichment ratio=0.89, one-sided Fisher p=9.03e-01.",
all,enrichment,main_class,Sterols,refmet_hierarchy_annotation,accepted_curated,accepted_curated,8,1,0,1,0.125,1503,467,1495,466,0.3107119095143047,0.4023019271948608,0.9494705905122633,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,cholesterol sulfate [metab-u-lrpneg]; cholesterol sulfate_feature1; 25-hydroxy-cholesterol; cholesterol; cholesterol [metab-u-lrppos],FDR<0.05,"Sterols has 1/8 annotated rows significant at FDR<0.05; enrichment ratio=0.40, one-sided Fisher p=9.49e-01.",
all,enrichment,main_class,Benzoic acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,28,5,1,4,0.17857142857142858,1503,467,1475,462,0.3107119095143047,0.5747170388498012,0.9643669336093105,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Methyl 3-hydroxybenzoate [metab-u-rpneg]; Protocatechuic acid [metab-u-rpneg]; 3-Hydroxybenzoic acid [metab-u-rpneg]; Salicylic acid; D-(-)-Quinic acid; methyl n-methylanthranilate; Diethyl phthalate [metab-u-rppos]; diethylphthalate,FDR<0.05,"Benzoic acids has 5/28 annotated rows significant at FDR<0.05; enrichment ratio=0.57, one-sided Fisher p=9.64e-01.",
all,enrichment,main_class,Pyridine alkaloids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,22,3,1,2,0.13636363636363635,1503,467,1481,464,0.3107119095143047,0.4388748296671209,0.9844553248437449,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,1-Methyl nicotinamide [metab-u-hilicpos]; Trigonelline [metab-u-hilicpos]; 4-Pyridoxic acid [metab-u-hilicpos]; 4-pyridoxate; niacinamide; 1-methylnicotinamide; 3-Hydroxypyridine; n1-methyl-2-pyridone-5-carboxamide,FDR<0.05,"Pyridine alkaloids has 3/22 annotated rows significant at FDR<0.05; enrichment ratio=0.44, one-sided Fisher p=9.84e-01.",
all,enrichment,main_class,Cholines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,14,1,0,1,0.07142857142857142,1503,467,1489,466,0.3107119095143047,0.22988681553992046,0.9946829558706531,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Choline; choline; Choline [metab-u-hilicpos]; Choline phosphate [metab-u-hilicpos]; acetylcholine; Acetyl-β-methylcholine; Acetylcholine; Acetylcholine [metab-u-hilicpos],FDR<0.05,"Cholines has 1/14 annotated rows significant at FDR<0.05; enrichment ratio=0.23, one-sided Fisher p=9.95e-01.",
all,enrichment,main_class,Amines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,15,1,1,0,0.06666666666666667,1503,467,1488,466,0.3107119095143047,0.2145610278372591,0.9963505580262718,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,putrescine; Ethanolamine [metab-t-amines]; octadecanamine_feature1; Putrescine [metab-u-hilicpos]; n-acetylhistamine; Triethanolamine [metab-u-hilicpos]; Diethanolamine [metab-u-hilicpos]; ethanolamine,FDR<0.05,"Amines has 1/15 annotated rows significant at FDR<0.05; enrichment ratio=0.21, one-sided Fisher p=9.96e-01.",
all,enrichment,main_class,Octadecanoids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,15,1,1,0,0.06666666666666667,1503,467,1488,466,0.3107119095143047,0.2145610278372591,0.9963505580262718,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,"12-Hydroxyoctadecanoic acid; 13-hode; 9-hode; 9-hotre; 13-hpode; 13-HODE [metab-t-oxylipneg]; 9,10-dihome; 13s-hotre(gamma)",FDR<0.05,"Octadecanoids has 1/15 annotated rows significant at FDR<0.05; enrichment ratio=0.21, one-sided Fisher p=9.96e-01.",
all,enrichment,main_class,Sphingoid bases,refmet_hierarchy_annotation,accepted_curated,accepted_curated,15,1,0,1,0.06666666666666667,1503,467,1488,466,0.3107119095143047,0.2145610278372591,0.9963505580262718,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,sphinganine 1-phosphate [metab-u-lrppos]; Sphingosine 1-phosphate [metab-u-rpneg]; Sphingosine [metab-u-rppos]; sphingosine; C16 Sphinganine [metab-u-rppos]; sphinganine (c16); sphingosine 1-phosphate; sphinganine,FDR<0.05,"Sphingoid bases has 1/15 annotated rows significant at FDR<0.05; enrichment ratio=0.21, one-sided Fisher p=9.96e-01.",
all,enrichment,main_class,TCA acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,27,3,1,2,0.1111111111111111,1503,467,1476,464,0.3107119095143047,0.3576017130620985,0.9965616800233201,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,citric acid; DL-Malic acid; succinic acid; Citric acid/Isocitric acid [metab-u-ionpneg]; cis-Aconitic acid [metab-u-rppos]; isocitrate; malic acid; fumaric acid,FDR<0.05,"TCA acids has 3/27 annotated rows significant at FDR<0.05; enrichment ratio=0.36, one-sided Fisher p=9.97e-01.",
all,enrichment,main_class,Fatty amides,refmet_hierarchy_annotation,accepted_curated,accepted_curated,19,1,1,0,0.05263157894736842,1503,467,1484,466,0.3107119095143047,0.16939028513467824,0.9991925508609547,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Palmitoyl-EA [metab-u-hilicpos]; erucamide_feature1; Oleoyl-EA [metab-u-hilicpos]; linoleoyl ethanolamide; oleamide; oleoyl-ea; Oleamide; palmitoyl-ea,FDR<0.05,"Fatty amides has 1/19 annotated rows significant at FDR<0.05; enrichment ratio=0.17, one-sided Fisher p=9.99e-01.",
all,enrichment,main_class,Histidine alkaloids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,17,0,0,0,0.0,1503,467,1486,467,0.3107119095143047,0.0,0.9999999999988363,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,imidazoleacetate; urocanate; methylimidazoleacetate; 1-Methylhistamine [metab-u-hilicpos]; Imidazolepropionic acid [metab-u-hilicpos]; Urocanic acid [metab-u-rppos]; histamine; Methylimidazoleacetic acid [metab-u-hilicpos],FDR<0.05,"Histidine alkaloids has 0/17 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Glycosphingolipids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,5,0,0,0,0.0,1503,467,1498,467,0.3107119095143047,0.0,0.99999999999893,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,GlcCer 18:2;O2/22:0 [metab-u-hilicpos]; GlcCer 18:2;O2/23:0 [metab-u-hilicpos]; GlcCer 18:1;O2/22:0 [metab-u-hilicpos]; GlcCer 18:1;O2/18:0 [metab-u-hilicpos]; GlcCer 18:1;O2/20:0 [metab-u-hilicpos],FDR<0.05,"Glycosphingolipids has 0/5 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Arylsulfates,refmet_hierarchy_annotation,accepted_curated,accepted_curated,3,0,0,0,0.0,1503,467,1500,467,0.3107119095143047,0.0,0.9999999999991792,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,2-Methoxyphenol sulfate; 4-Methoxyphenol sulfate; P-CRESOL SULFATE,FDR<0.05,"Arylsulfates has 0/3 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Sterol/Bile acid conjugates(In-silico),refmet_hierarchy_annotation,accepted_curated,accepted_curated,3,0,0,0,0.0,1503,467,1500,467,0.3107119095143047,0.0,0.9999999999991792,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,ST 27:1;O;S; ST 28:1;O;S; ST 29:1;O;S,FDR<0.05,"Sterol/Bile acid conjugates(In-silico) has 0/3 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Sulfinic acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,3,0,0,0,0.0,1503,467,1500,467,0.3107119095143047,0.0,0.9999999999991792,MoTrPAC DataHub,human-precovid-sed-adu;pass1b06,data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,hypotaurine; Hypotaurine [metab-u-hilicpos],FDR<0.05,"Sulfinic acids has 0/3 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Benzodioxoles,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,0,0,0,0.0,1503,467,1502,467,0.3107119095143047,0.0,0.9999999999994897,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,"(E,E)-Trichostachine [metab-u-hilicpos]",FDR<0.05,"Benzodioxoles has 0/1 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Cyclohexylamines,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,0,0,0,0.0,1503,467,1502,467,0.3107119095143047,0.0,0.9999999999994897,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,"N,N-Dicyclohexylamine [metab-u-hilicpos]",FDR<0.05,"Cyclohexylamines has 0/1 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Dibenzocycloheptenes,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,0,0,0,0.0,1503,467,1502,467,0.3107119095143047,0.0,0.9999999999994897,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,nortriptyline [metab-u-hilicpos],FDR<0.05,"Dibenzocycloheptenes has 0/1 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Fatty aldehydes,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,0,0,0,0.0,1503,467,1502,467,0.3107119095143047,0.0,0.9999999999994897,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,Succinic semialdehyde,FDR<0.05,"Fatty aldehydes has 0/1 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Macrolides,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,0,0,0,0.0,1503,467,1502,467,0.3107119095143047,0.0,0.9999999999994897,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,Laurolactam,FDR<0.05,"Macrolides has 0/1 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Monoradylglycerols,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,0,0,0,0.0,1503,467,1502,467,0.3107119095143047,0.0,0.9999999999994897,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,1-Stearoylglycerol,FDR<0.05,"Monoradylglycerols has 0/1 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Pterins,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,0,0,0,0.0,1503,467,1502,467,0.3107119095143047,0.0,0.9999999999994897,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Pterin [metab-u-hilicpos],FDR<0.05,"Pterins has 0/1 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Tyrosine alkaloids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,1,0,0,0,0.0,1503,467,1502,467,0.3107119095143047,0.0,0.9999999999994897,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Hordenine [metab-u-hilicpos],FDR<0.05,"Tyrosine alkaloids has 0/1 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Docosanoids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,4,0,0,0,0.0,1503,467,1499,467,0.3107119095143047,0.0,0.9999999999998854,MoTrPAC DataHub,pass1b06,data/live/volcano_motrpac_pass1b06_plasma_8w.csv,resolvin d1; resolvin d2,FDR<0.05,"Docosanoids has 0/4 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Alkaloids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,2,0,0,0,0.0,1503,467,1501,467,0.3107119095143047,0.0,1.0,MoTrPAC DataHub,pass1b06,data/live/volcano_motrpac_pass1b06_plasma_8w.csv,cotinine n-oxide,FDR<0.05,"Alkaloids has 0/2 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Anthranilic acid alkaloids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,6,0,0,0,0.0,1503,467,1497,467,0.3107119095143047,0.0,1.0,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,kynurenate; Kynurenic acid [metab-u-rpneg]; Kynurenic acid [metab-u-hilicpos]; 4-QUINOLINECARBOXYLIC ACID; Kynurenic acid,FDR<0.05,"Anthranilic acid alkaloids has 0/6 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Azoles,refmet_hierarchy_annotation,accepted_curated,accepted_curated,6,0,0,0,0.0,1503,467,1497,467,0.3107119095143047,0.0,1.0,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,"creatinine; Creatinine; Creatinine [metab-u-ionpneg]; 5,5-Dimethylhydantoin; Creatinine [metab-u-hilicpos]",FDR<0.05,"Azoles has 0/6 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Eicosanoids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,24,0,0,0,0.0,1503,467,1479,467,0.3107119095143047,0.0,1.0,MoTrPAC DataHub,pass1b06,data/live/volcano_motrpac_pass1b06_plasma_8w.csv,"ltb4; resolvin e1; 8,9-epetre; pge2; 5,6-dihetre; 8,9-dihetre; 14,15-dihetre; 12-hete",FDR<0.05,"Eicosanoids has 0/24 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
all,enrichment,main_class,Heterocyclic compounds,refmet_hierarchy_annotation,accepted_curated,accepted_curated,2,0,0,0,0.0,1503,467,1501,467,0.3107119095143047,0.0,1.0,MoTrPAC DataHub,pass1b06,data/live/volcano_motrpac_pass1b06_plasma_8w.csv,biotin,FDR<0.05,"Heterocyclic compounds has 0/2 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",small_refmet_class_n;no_significant_effects_in_class
all,enrichment,main_class,Sulfonic acids,refmet_hierarchy_annotation,accepted_curated,accepted_curated,6,0,0,0,0.0,1503,467,1497,467,0.3107119095143047,0.0,1.0,Metabolomics Workbench;MoTrPAC DataHub,ST004303;human-precovid-sed-adu;pass1b06,data/live/volcano_human_ST004303.csv;data/live/volcano_motrpac_human_plasma_endur_post.csv;data/live/volcano_motrpac_pass1b06_plasma_8w.csv,Taurine [metab-t-amines]; Taurine [metab-u-ionpneg]; taurine; Taurine [metab-u-hilicpos]; Taurine,FDR<0.05,"Sulfonic acids has 0/6 annotated rows significant at FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00.",no_significant_effects_in_class
