query_original,query_type,refmet_level,refmet_label,match_basis,match_confidence,review_status,decision_scope,harmonization_eligibility,identity_evidence_level,source_system,study_id,species,sample_matrix,assay_panel,sex_or_subgroup,accession_or_contrast,analysis_stratum,analysis_stratum_fields,n_class_rows,n_class_significant,n_class_up_significant,n_class_down_significant,class_significant_fraction,n_background_rows,n_background_significant,n_nonclass_background_rows,n_nonclass_background_significant,background_significant_fraction,enrichment_ratio,fisher_exact_p,fisher_exact_q,bh_test_count,multiple_testing_method,multiple_testing_scope,enrichment_significance_call,n_class_identifier_supported,n_background_identifier_supported,source_systems,study_ids,source_files,example_metabolites,example_refmet_ids,refmet_annotation_sources,refmet_annotation_releases,refmet_annotation_provenance,significance_threshold,interpretation,missing_evidence
Fatty acyls,enrichment,super_class,Fatty Acyls,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-hilicpos,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,41,30,26,4,0.7317073170731707,340,180,299,150,0.5294117647058824,1.3821138211382114,0.0041291880424059735,0.053679444551277655,13,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,CAR 4:0;OH [metab-u-hilicpos]; CAR 6:0;OH [metab-u-hilicpos]; CAR 2:0 [metab-u-hilicpos]; CAR 16:0 [metab-u-hilicpos]; CAR 3:0 [metab-u-hilicpos]; CAR 18:1 [metab-u-hilicpos]; CAR 9:0 [metab-u-hilicpos]; CAR 16:2 [metab-u-hilicpos],RM0154193;RM0154019;RM0154009;RM0153848;RM0154041;RM0153915;RM0153881;RM0154197,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Fatty Acyls has 30/41 annotated rows significant at source FDR<0.05; enrichment ratio=1.38, one-sided Fisher p=4.13e-03, BH q=5.37e-02 across 13 super_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:41;refmet_annotation_release_not_recorded
Fatty acyls,enrichment,super_class,Fatty Acyls,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-lrpneg,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-lrpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,32,12,6,6,0.375,37,14,5,2,0.3783783783783784,0.9910714285714285,0.7313195548489653,0.7313195548489653,2,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,FA 16:1;O2 [metab-u-lrpneg]; FA 20:5;O3 [metab-u-lrpneg]; FA 14:3;O [metab-u-lrpneg]; FA 20:5;O2 [metab-u-lrpneg]; FA 24:1;O2 [metab-u-lrpneg]; FA 19:2;O2 [metab-u-lrpneg]; FA 20:4;O [metab-u-lrpneg]; FA 18:2;O2 [metab-u-lrpneg],RM0224112;RM0224129;RM0224109;RM0224128;RM0224138;RM0224121;RM0224126;RM0224119,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-lrpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Fatty Acyls has 12/32 annotated rows significant at source FDR<0.05; enrichment ratio=0.99, one-sided Fisher p=7.31e-01, BH q=7.31e-01 across 2 super_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:32;refmet_annotation_release_not_recorded
Fatty acyls,enrichment,super_class,Fatty Acyls,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,Metabolomics Workbench,ST004303,Homo sapiens,plasma,AN007160,all_or_not_reported,"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled","source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,53,26,23,3,0.49056603773584906,236,104,183,78,0.4406779661016949,1.1132075471698113,0.24978191504890024,0.8742367026711508,14,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,"Acetyl-L-carnitine; Arachidonic acid; 4-Hydroxybutyric acid (GHB); Propionylcarnitine; trans-10-Heptadecenoic acid; Docosahexaenoic Acid; Myristic Acid; 11(Z),14(Z)-Eicosadienoic Acid",RM0154009;RM0153612;RM0153113;RM0154041;RM0224148;RM0137845;RM0153483;RM0153251,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported, Fatty Acyls has 26/53 annotated rows significant at source FDR<0.05; enrichment ratio=1.11, one-sided Fisher p=2.50e-01, BH q=8.74e-01 across 14 super_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:53;refmet_annotation_release_not_recorded
Fatty acyls,enrichment,super_class,Fatty Acyls,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-rpneg,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,46,26,24,2,0.5652173913043478,98,59,52,33,0.6020408163265306,0.9388356669123065,0.8178378710613079,0.9999999999999857,8,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,2-Hydroxybutyric acid [metab-u-rpneg]; 3-Hydroxybutyric acid [metab-u-rpneg]; Heptadecanedioic acid [metab-u-rpneg]; Hydroxydecanoic acid [metab-u-rpneg]; Sebacic acid [metab-u-rpneg]; Eicosenoic acid [metab-u-rpneg]; Myristoleic acid [metab-u-rpneg]; Dodecenoic acid [metab-u-rpneg],RM0153654;RM0153056;RM0139430;RM0135562;RM0153047;RM0150389;RM0153354;RM0073943,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Fatty Acyls has 26/46 annotated rows significant at source FDR<0.05; enrichment ratio=0.94, one-sided Fisher p=8.18e-01, BH q=1.00e+00 across 8 super_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:46;refmet_annotation_release_not_recorded
Fatty acyls,enrichment,super_class,Fatty Acyls,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-rppos,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,6,3,1,2,0.5,94,44,88,41,0.46808510638297873,1.0681818181818181,0.5984116843911843,1.0,12,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Adipic acid [metab-u-rppos]; Aminobutyric acid [metab-u-rppos]; 2-Hydroxy-3-methylbutyric acid [metab-u-rppos]; Oleamide [metab-u-rppos]; 3-Hydroxyphenyl valeric acid [metab-u-rppos]; Aminododecanoic acid [metab-u-rppos],RM0149937;RM0073571;RM0153673;RM0150636;RM0152303;RM0073572,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Fatty Acyls has 3/6 annotated rows significant at source FDR<0.05; enrichment ratio=1.07, one-sided Fisher p=5.98e-01, BH q=1.00e+00 across 12 super_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:6;refmet_annotation_release_not_recorded
Fatty acyls,enrichment,super_class,Fatty Acyls,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,pass1b06,Rattus norvegicus,plasma,metabolomics_timewise,female,pass1b06 plasma :: 8w training vs sedentary control,source_system=MoTrPAC DataHub | study_id=pass1b06 | species=Rattus norvegicus | sample_matrix=plasma | assay_panel=metabolomics_timewise | accession_or_contrast=pass1b06 plasma :: 8w training vs sedentary control | sex_or_subgroup=female,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,76,0,0,0,0.0,299,1,223,1,0.0033444816053511705,0.0,1.0,1.0,11,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,pass1b06,data/live/volcano_motrpac_pass1b06_plasma_8w.csv,"gamma-aminobutyric acid; erucamide_feature1; resolvin e1; fa(12:0); linoleoyl ethanolamide; fa(17:0); fa(10:0); 8,9-epetre",RM0153263;RM0136959;RM0153544;RM0149943;RM0140131;RM0149933;RM0153468;RM0153500,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=pass1b06 | species=Rattus norvegicus | sample_matrix=plasma | assay_panel=metabolomics_timewise | accession_or_contrast=pass1b06 plasma :: 8w training vs sedentary control | sex_or_subgroup=female, Fatty Acyls has 0/76 annotated rows significant at source FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00, BH q=1.00e+00 across 11 super_class tests in this stratum.",no_significant_effects_in_class;name_only_or_unresolved_identity_rows_in_class:76;refmet_annotation_release_not_recorded
Fatty acyls,enrichment,super_class,Fatty Acyls,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,pass1b06,Rattus norvegicus,plasma,metabolomics_timewise,male,pass1b06 plasma :: 8w training vs sedentary control,source_system=MoTrPAC DataHub | study_id=pass1b06 | species=Rattus norvegicus | sample_matrix=plasma | assay_panel=metabolomics_timewise | accession_or_contrast=pass1b06 plasma :: 8w training vs sedentary control | sex_or_subgroup=male,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,76,0,0,0,0.0,299,5,223,5,0.016722408026755852,0.0,1.0,1.0,11,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,pass1b06,data/live/volcano_motrpac_pass1b06_plasma_8w.csv,ltb4; 13-hode; 9-hode; gamma-aminobutyric acid; resolvin d1; 9-hotre; maleate; fa(16:0-oh),RM0140120;RM0139907;RM0150605;RM0153263;RM0160166;RM0153111;RM0153373;RM0073971,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=pass1b06 | species=Rattus norvegicus | sample_matrix=plasma | assay_panel=metabolomics_timewise | accession_or_contrast=pass1b06 plasma :: 8w training vs sedentary control | sex_or_subgroup=male, Fatty Acyls has 0/76 annotated rows significant at source FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00, BH q=1.00e+00 across 11 super_class tests in this stratum.",no_significant_effects_in_class;name_only_or_unresolved_identity_rows_in_class:76;refmet_annotation_release_not_recorded
Fatty acyls,enrichment,super_class,Fatty Acyls,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-t-oxylipneg,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-t-oxylipneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,2,0,0,0,0.0,2,0,0,0,0.0,,1.0,1.0,1,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,13-HODE [metab-t-oxylipneg]; 9S-HODE [metab-t-oxylipneg],RM0139907;RM0140000,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-t-oxylipneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Fatty Acyls has 0/2 annotated rows significant at source FDR<0.05; enrichment ratio=not_estimable, one-sided Fisher p=1.00e+00, BH q=1.00e+00 across 1 super_class tests in this stratum.",small_refmet_class_n;no_significant_effects_in_class;name_only_or_unresolved_identity_rows_in_class:2;refmet_annotation_release_not_recorded
