query_original,query_type,refmet_level,refmet_label,match_basis,match_confidence,review_status,decision_scope,harmonization_eligibility,identity_evidence_level,source_system,study_id,species,sample_matrix,assay_panel,sex_or_subgroup,accession_or_contrast,analysis_stratum,analysis_stratum_fields,n_class_rows,n_class_significant,n_class_up_significant,n_class_down_significant,class_significant_fraction,n_background_rows,n_background_significant,n_nonclass_background_rows,n_nonclass_background_significant,background_significant_fraction,enrichment_ratio,fisher_exact_p,fisher_exact_q,bh_test_count,multiple_testing_method,multiple_testing_scope,enrichment_significance_call,n_class_identifier_supported,n_background_identifier_supported,source_systems,study_ids,source_files,example_metabolites,example_refmet_ids,refmet_annotation_sources,refmet_annotation_releases,refmet_annotation_provenance,significance_threshold,interpretation,missing_evidence
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-rpneg,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,9,8,1,7,0.8888888888888888,98,59,89,51,0.6020408163265306,1.4764595103578153,0.06294038918158473,0.5349933080434702,17,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Tryptophan [metab-u-rpneg]; Leucine/Isoleucine [metab-u-rpneg]; gamma-Glutamylisoleucine [metab-u-rpneg]; Tyrosine [metab-u-rpneg]; N-Methyl-D-aspartic acid [metab-u-rpneg]; Glutamine [metab-u-rpneg]; alpha-N-Phenylacetylglutamine [metab-u-rpneg]; gamma-Glutamylleucine [metab-u-rpneg],RM0136024;RM0013480;RM0131708;RM0135896;RM0136188;RM0012560;RM0056200;RM0012894,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Amino acids and peptides has 8/9 annotated rows significant at source FDR<0.05; enrichment ratio=1.48, one-sided Fisher p=6.29e-02, BH q=5.35e-01 across 17 main_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:9;refmet_annotation_release_not_recorded
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-t-amines,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-t-amines | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,28,21,2,19,0.75,31,23,3,2,0.7419354838709677,1.0108695652173914,0.6060066740823137,0.989247311827957,4,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Tyrosine [metab-t-amines]; Threonine [metab-t-amines]; Proline [metab-t-amines]; Tryptophan [metab-t-amines]; Hydroxyproline [metab-t-amines]; Glycine [metab-t-amines]; Citrulline [metab-t-amines]; Alanine [metab-t-amines],RM0135896;RM0135900;RM0135899;RM0136024;RM0028010;RM0135888;RM0136022;RM0135898,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-t-amines | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Amino acids and peptides has 21/28 annotated rows significant at source FDR<0.05; enrichment ratio=1.01, one-sided Fisher p=6.06e-01, BH q=9.89e-01 across 4 main_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:28;refmet_annotation_release_not_recorded
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,pass1b06,Rattus norvegicus,plasma,metabolomics_timewise,male,pass1b06 plasma :: 8w training vs sedentary control,source_system=MoTrPAC DataHub | study_id=pass1b06 | species=Rattus norvegicus | sample_matrix=plasma | assay_panel=metabolomics_timewise | accession_or_contrast=pass1b06 plasma :: 8w training vs sedentary control | sex_or_subgroup=male,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,80,3,0,3,0.0375,299,5,219,2,0.016722408026755852,2.2425,0.12108392545895327,1.0,45,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,pass1b06,data/live/volcano_motrpac_pass1b06_plasma_8w.csv,glutamic acid; cystathionine 1; kynurenine; methionine; 4-acetamidobutanoate; pipecolic acid; s-allylcysteine; pyroglutamate,RM0135893;RM0135885;RM0132226;RM0161726;RM0042346;RM0135981;RM0048044;RM0135924,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=pass1b06 | species=Rattus norvegicus | sample_matrix=plasma | assay_panel=metabolomics_timewise | accession_or_contrast=pass1b06 plasma :: 8w training vs sedentary control | sex_or_subgroup=male, Amino acids and peptides has 3/80 annotated rows significant at source FDR<0.05; enrichment ratio=2.24, one-sided Fisher p=1.21e-01, BH q=1.00e+00 across 45 main_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:80;refmet_annotation_release_not_recorded
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,Metabolomics Workbench,ST004303,Homo sapiens,plasma,AN007160,all_or_not_reported,"ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled","source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported",source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,59,28,3,25,0.4745762711864407,236,104,177,76,0.4406779661016949,1.0769230769230769,0.324093597375534,1.0,44,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,Metabolomics Workbench,ST004303,data/live/volcano_human_ST004303.csv,Leucine; Norlidocaine; L-Kynurenine; D-(+)-Tryptophan; Asparagine; DL-Lysine; L-Tyrosine; DL-Serine,RM0136379;RM0137128;RM0132226;RM0157458;RM0135724;RM0135903;RM0135896;RM0032433,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=Metabolomics Workbench | study_id=ST004303 | species=Homo sapiens | sample_matrix=plasma | assay_panel=AN007160 | accession_or_contrast=ST004303 :: post (4P) vs pre (1P), paired, MIE+SIE pooled | sex_or_subgroup=all_or_not_reported, Amino acids and peptides has 28/59 annotated rows significant at source FDR<0.05; enrichment ratio=1.08, one-sided Fisher p=3.24e-01, BH q=1.00e+00 across 44 main_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:59;refmet_annotation_release_not_recorded
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-rppos,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,35,17,2,15,0.4857142857142857,94,44,59,27,0.46808510638297873,1.0376623376623377,0.4796013300126314,1.0,25,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Tryptophan [metab-u-rppos]; gamma-Glutamyltyrosine [metab-u-rppos]; Pro-Phe [metab-u-rppos]; Glu-Phe [metab-u-rppos]; Kynurenine [metab-u-rppos]; 4-Acetamidobutanoic acid [metab-u-rppos]; Leu-Pro [metab-u-rppos]; gamma-Glutamylmethionine [metab-u-rppos],RM0136024;RM0136359;RM0043220;RM0129813;RM0132226;RM0042346;RM0052764;RM0137490,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-rppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Amino acids and peptides has 17/35 annotated rows significant at source FDR<0.05; enrichment ratio=1.04, one-sided Fisher p=4.80e-01, BH q=1.00e+00 across 25 main_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:35;refmet_annotation_release_not_recorded
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-hilicpos,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,66,35,13,22,0.5303030303030303,340,180,274,145,0.5294117647058824,1.0016835016835015,0.5488392844521298,1.0,50,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Alloisoleucine [metab-u-hilicpos]; Monoethylglycinexylidide [metab-u-hilicpos]; N-Acetyl-D-tryptophan [metab-u-hilicpos]; Leucine [metab-u-hilicpos]; Tryptophan [metab-u-hilicpos]; N-6-Trimethyllysine [metab-u-hilicpos]; Methionine sulfoxide [metab-u-hilicpos]; N-Acetylarginine [metab-u-hilicpos],RM0135966;RM0137128;RM0132212;RM0136379;RM0136024;RM0009124;RM0050489;RM0132228,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-hilicpos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Amino acids and peptides has 35/66 annotated rows significant at source FDR<0.05; enrichment ratio=1.00, one-sided Fisher p=5.49e-01, BH q=1.00e+00 across 50 main_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:66;refmet_annotation_release_not_recorded
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-ionpneg,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-ionpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,25,12,1,11,0.48,59,31,34,19,0.5254237288135594,0.9135483870967741,0.8058289966228486,1.0,12,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,Tryptophan [metab-u-ionpneg]; Threonine [metab-u-ionpneg]; Proline [metab-u-ionpneg]; Citrulline [metab-u-ionpneg]; Ornithine [metab-u-ionpneg]; Alanine [metab-u-ionpneg]; Serine [metab-u-ionpneg]; Aspartic acid [metab-u-ionpneg],RM0136024;RM0135900;RM0135899;RM0136022;RM0135912;RM0135898;RM0032433;RM0135905,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-ionpneg | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Amino acids and peptides has 12/25 annotated rows significant at source FDR<0.05; enrichment ratio=0.91, one-sided Fisher p=8.06e-01, BH q=1.00e+00 across 12 main_class tests in this stratum.",name_only_or_unresolved_identity_rows_in_class:25;refmet_annotation_release_not_recorded
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,human-precovid-sed-adu,Homo sapiens,plasma,metab-u-lrppos,all_or_not_reported,ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise,source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-lrppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,1,0,0,0,0.0,5,3,4,3,0.6,0.0,1.0,1.0,5,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,human-precovid-sed-adu,data/live/volcano_motrpac_human_plasma_endur_post.csv,arginine [metab-u-lrppos],RM0135963,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=human-precovid-sed-adu | species=Homo sapiens | sample_matrix=plasma | assay_panel=metab-u-lrppos | accession_or_contrast=ADUEndur.post_3.5_4_hr - ADUEndur.pre_exercise | sex_or_subgroup=all_or_not_reported, Amino acids and peptides has 0/1 annotated rows significant at source FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00, BH q=1.00e+00 across 5 main_class tests in this stratum.",small_refmet_class_n;no_significant_effects_in_class;name_only_or_unresolved_identity_rows_in_class:1;refmet_annotation_release_not_recorded
Amino acids and peptides,enrichment,main_class,Amino acids and peptides,refmet_hierarchy_annotation,annotation_name_lookup_identity_unconfirmed,requires_human_review,within_stratum_class_overrepresentation,not_applicable_do_not_harmonize_from_enrichment,contains_name_resolved_or_unresolved_rows,MoTrPAC DataHub,pass1b06,Rattus norvegicus,plasma,metabolomics_timewise,female,pass1b06 plasma :: 8w training vs sedentary control,source_system=MoTrPAC DataHub | study_id=pass1b06 | species=Rattus norvegicus | sample_matrix=plasma | assay_panel=metabolomics_timewise | accession_or_contrast=pass1b06 plasma :: 8w training vs sedentary control | sex_or_subgroup=female,source_system;study_id;species;sample_matrix;assay_panel;accession_or_contrast;sex_or_subgroup,80,0,0,0,0.0,299,1,219,1,0.0033444816053511705,0.0,1.0,1.0,45,Benjamini-Hochberg,analysis_stratum,not_significant_BH_q>=0.05,0,0,MoTrPAC DataHub,pass1b06,data/live/volcano_motrpac_pass1b06_plasma_8w.csv,serine; glutamine; n-acetylornithine; kynurenine; alanine; arginine; proline; 4-acetamidobutanoate,RM0032433;RM0012560;RM0136214;RM0132226;RM0135898;RM0135963;RM0135899;RM0042346,RefMet,not_recorded_in_local_snapshot,data/live/refmet_annotations.csv,source FDR<0.05; class BH q<0.05,"Within source_system=MoTrPAC DataHub | study_id=pass1b06 | species=Rattus norvegicus | sample_matrix=plasma | assay_panel=metabolomics_timewise | accession_or_contrast=pass1b06 plasma :: 8w training vs sedentary control | sex_or_subgroup=female, Amino acids and peptides has 0/80 annotated rows significant at source FDR<0.05; enrichment ratio=0.00, one-sided Fisher p=1.00e+00, BH q=1.00e+00 across 45 main_class tests in this stratum.",no_significant_effects_in_class;name_only_or_unresolved_identity_rows_in_class:80;refmet_annotation_release_not_recorded
