feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
NP-015114,NP-015114,unclassified_no_refmet_match,0.30689905156661296,log2fc,7.772552897881963e-07,8.614579461819176e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
16-Hydroxyhexadecanoic acid [refmet: Juniperic acid],Juniperic acid,Fatty Acyls,0.5614275123671169,log2fc,9.486990303730414e-07,9.749945309262618e-06,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Testosterone sulfate,Testosterone sulfate,Sterol Lipids,0.2588572983621445,log2fc,7.392249262246401e-06,6.144807199242321e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
12-Hydroxyoctadecanoic acid [refmet: 12-Hydroxy stearic acid],12-Hydroxy stearic acid,Fatty Acyls,0.47990505974145775,log2fc,8.984147112952551e-06,7.028773917780525e-05,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
3-Aminobenzamide,3-Aminobenzamide,Benzenoids,0.7957358706402795,log2fc,2.099945876789166e-05,0.00015096908195295087,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Xanthine,Xanthine,Nucleic acids,1.1673072459488418,log2fc,3.935160985535297e-05,0.0002616882055380972,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
epiandrosterone sulfate [refmet: Epiandrosterone],Epiandrosterone,Sterol Lipids,0.2230919022935007,log2fc,4.66064214541467e-05,0.0002817570024273414,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
NP-018661,NP-018661,unclassified_no_refmet_match,0.9717062124157451,log2fc,6.97417281220099e-05,0.0003864854100094715,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Hexanoylcarnitine [refmet: CAR 6:0],CAR 6:0,Fatty Acyls,0.7065751098979642,log2fc,8.1547977251321e-05,0.0004325564028885193,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
Arachidic Acid,Arachidic acid,Fatty Acyls,0.4732547326976267,log2fc,0.00010074047134202539,0.0004962400995736806,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
HYDROXYPHENYLLACTIC ACID,Hydroxyphenyllactic acid,Organic acids,0.4505206187266942,log2fc,0.0001141856603334887,0.0005522433754310544,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
"6-Methyl[1,2,4]triazolo[4,3-b]pyridazin-8-ol","6-Methyl[1,2,4]triazolo[4,3-b]pyridazin-8-ol",unclassified_no_refmet_match,0.1636593304829279,log2fc,0.0002739578048891332,0.0011567107317541178,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
N6-Me-Adenosine [refmet: N6-Methyladenosine],N6-Methyladenosine,Nucleic acids,0.14104074183071671,log2fc,0.00028457019089509167,0.0011827448559077248,benjamini_hochberg,within_study_all_266_paired_tested_features_scan_lane_bh,provided,higher_in_numerator,ST004303,ST004303_human_plasma_paired_ttest,ST004303_4P_vs_1P_paired_arms_pooled,not_reported,
