feature_id,refmet_name,refmet_super_class,effect,effect_scale,p_value,fdr,fdr_method,fdr_scope,fdr_source,selection_status,source_study_id,source_dataset_id,contrast_id,platform,sex
Car(18:2)_isomer2 [metab-u-lrppos] [refmet: Car(18:2)_isomer2],Car(18:2)_isomer2,unclassified_no_refmet_match,0.881109472903493,log2fc,9.29506397781494e-27,1.94266837136332e-24,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
Car(18:0-OH) [metab-u-lrppos] [refmet: Car(18:0-OH)],Car(18:0-OH),unclassified_no_refmet_match,0.395591845423979,log2fc,7.37405301333706e-26,8.21837455296741e-24,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
PI(38:3) [metab-u-lrppos] [refmet: PI(38:3)],PI(38:3),unclassified_no_refmet_match,0.232237788601541,log2fc,7.864473256428139e-26,8.21837455296741e-24,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
Car(18:1) [metab-u-lrppos] [refmet: Car(18:1)],Car(18:1),unclassified_no_refmet_match,0.371693269990125,log2fc,2.30999338860664e-25,2.06909407808052e-23,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
PI(40:5) [metab-u-lrppos] [refmet: PI(40:5)],PI(40:5),unclassified_no_refmet_match,0.244916366392719,log2fc,1.4353359304458202e-23,1.12494453548691e-21,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
CAR 16:2 [metab-u-hilicpos] [refmet: CAR 16:2],CAR 16:2,Fatty Acyls,0.927645726476889,log2fc,1.3836185385536001e-22,4.03555407078132e-21,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
CAR 14:0 [metab-u-hilicpos] [refmet: CAR 14:0],CAR 14:0,Fatty Acyls,0.543605288530131,log2fc,9.13910871169434e-22,2.46052926853309e-20,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
PI(38:4) [metab-u-lrppos] [refmet: PI(38:4)],PI(38:4),unclassified_no_refmet_match,0.22947097408051,log2fc,9.28423030665623e-22,6.46801378030384e-20,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
CAR 14:1 [metab-u-hilicpos] [refmet: CAR 14:1],CAR 14:1,Fatty Acyls,0.795062933403088,log2fc,3.6003319228871e-21,9.000829807217761e-20,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-hilicpos,
Car(14:1)_isomer1 [metab-u-lrppos] [refmet: Car(14:1)_isomer1],Car(14:1)_isomer1,unclassified_no_refmet_match,0.737610611143985,log2fc,4.42509787638469e-21,2.7745363684931998e-19,benjamini_hochberg,within_each_platform_da_table_as_released_by_motrpac_v1.3_dream_acute,provided,higher_in_numerator,MoTrPAC_human_precovid_sed_adu,motrpac_human_plasma_endur_post,motrpac_human_precovid_endur_post_3.5_4hr_vs_pre,metab-u-lrppos,
