record_key,source_system,source_subset,doi,pmid,pmcid,preprint_server,title,authors,journal,publication_year,publication_types,is_preprint,is_open_access,cited_by_count,linked_published_doi,preprint_version_count,record_url,queried_expression,source_url,retrieved_via
doi:10.1002/acn3.627,europe_pmc,MED,10.1002/acn3.627,30250866,PMC6144442,,"Seizures, periodic and rhythmic patterns in primary intraventricular hemorrhage","Stretz C, Sheikh Z, Maciel CB, Hirsch LJ, Gilmore EJ.",Annals of clinical and translational neurology,2018,journal article; research-article,false,true,4,,,https://europepmc.org/article/MED/30250866,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.1002/adhm.202402329,europe_pmc,MED,10.1002/adhm.202402329,39529517,,,"Bilayer Scaffolds Synergize Immunomodulation and Rejuvenation via Layer-Specific Release of CK2.1 and the ""Exercise Hormone"" Lac-Phe for Enhanced Osteochondral Regeneration","Liu PL, He SH, Shen ZH, Li XR, Deng QS, Wei ZY, Zhang CR, Dou XQ, Zhu TH, Dawes H, Lu J, Guo SC, Tao SC.",Advanced healthcare materials,2025,"journal article; research support, non-u.s. gov't",false,false,2,,,https://europepmc.org/article/MED/39529517,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/advs.202501820,europe_pmc,MED,10.1002/advs.202501820,40884288,PMC12499479,,Cardiovascular Disease Meets Cancer: Exploring the Epidemiology in China and Homotherapy Targeting Intersectional Mechanisms,"Xiang S, Shan Y, Xu S, Wang J, Luo M, Zhou J, Chen Q.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,journal article; review; review-article,false,true,1,,,https://europepmc.org/article/MED/40884288,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.1002/advs.202512020,europe_pmc,MED,10.1002/advs.202512020,41354462,PMC12866873,,Multi-Omics Reveal the Dysregulated Gut-Joint Axis in Knee Synovitis: Data from Two Osteoarthritis Studies in China,"Wang X, Liu Y, Sun Z, Li J, Lu Z, Huang J, Hu S, Cao P, Cao X, Li S, Ruan J, Liu J, Xie J, Sun H, Chen T, Li S, Zhu Z, Wen Z, Tuan RS, Hunter DJ, Li ZA, Shi D, Ding C.","Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2026,journal article; research-article,false,true,3,,,https://europepmc.org/article/MED/41354462,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.1002/ansa.202300003,europe_pmc,MED,10.1002/ansa.202300003,38715927,PMC10989560,,Mass Sportrometry: An annual look back at applications of mass spectrometry in sport and exercise science,"Ong ML, Green CG, Rowland SN, Heaney LM.",Analytical science advances,2023,journal article; review; review-article,false,true,8,,,https://europepmc.org/article/MED/38715927,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.1002/bit.27755,europe_pmc,MED,10.1002/bit.27755,33738790,PMC8453549,,Lactoyl leucine and isoleucine are bioavailable alternatives for canonical amino acids in cell culture media,"Schmidt C, Wehsling M, Le Mignon M, Wille G, Rey Y, Schnellbaecher A, Zabezhinsky D, Fischer M, Zimmer A.",Biotechnology and bioengineering,2021,"journal article; research support, non-u.s. gov't; research-article",false,true,15,,,https://europepmc.org/article/MED/33738790,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.1002/cpt.70205,europe_pmc,MED,10.1002/cpt.70205,41556311,PMC12997503,,Untargeted Metabolomics Identifies N-Lactoyl-Amino Acids as Dose-Responsive Plasma Biomarkers of Metformin Adherence in Type 2 Diabetes,"Cajka T, Hricko J, Rudl Kulhava L, Paucova M, Novakova M, Hola V, Rakusanova S, Fiehn O, Skop V, Lankova I, Miskova I, Pelikanova T, Haluzik M.",Clinical pharmacology and therapeutics,2026,"journal article; research support, non-u.s. gov't; research-article",false,true,,,,https://europepmc.org/article/MED/41556311,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/dmrr.70060,europe_pmc,MED,10.1002/dmrr.70060,40534243,PMC12177442,,N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease,"Naja K, Hedaya L, Elashi AA, Rizzo M, Elrayess MA.",Diabetes/metabolism research and reviews,2025,"journal article; research support, non-u.s. gov't; review; review-article",false,true,5,,,https://europepmc.org/article/MED/40534243,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/dmrr.70060/v1/review1,crossref,peer-review,10.1002/dmrr.70060/v1/review1,,,,"Review for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v1/review1,N-Lactoyl phenylalanine,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/dmrr.70060/v1/review1,crossref,peer-review,10.1002/dmrr.70060/v1/review1,,,,"Review for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v1/review1,N-lactoyl-phenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/dmrr.70060/v1/review2,crossref,peer-review,10.1002/dmrr.70060/v1/review2,,,,"Review for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v1/review2,N-Lactoyl phenylalanine,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/dmrr.70060/v1/review2,crossref,peer-review,10.1002/dmrr.70060/v1/review2,,,,"Review for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v1/review2,N-lactoyl-phenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/dmrr.70060/v1/review3,crossref,peer-review,10.1002/dmrr.70060/v1/review3,,,,"Review for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v1/review3,N-Lactoyl phenylalanine,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/dmrr.70060/v1/review3,crossref,peer-review,10.1002/dmrr.70060/v1/review3,,,,"Review for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v1/review3,N-lactoyl-phenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/dmrr.70060/v2/decision1,crossref,peer-review,10.1002/dmrr.70060/v2/decision1,,,,"Decision letter for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v2/decision1,N-Lactoyl phenylalanine,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/dmrr.70060/v2/decision1,crossref,peer-review,10.1002/dmrr.70060/v2/decision1,,,,"Decision letter for ""N-Lactoyl Amino Acids: Emerging Biomarkers in Metabolism and Disease""",,,2025,peer-review,false,,,,,https://doi.org/10.1002/dmrr.70060/v2/decision1,N-lactoyl-phenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1002/hem3.70038,europe_pmc,MED,10.1002/hem3.70038,39525856,PMC11543857,,Antibiotic-associated neutropenia is marked by the depletion of intestinal Lachnospiraceae and associated metabolites in pediatric patients,"Fernandez-Sanchez J, Rodgers R, Maknojia AA, Shaikh N, Yan H, Mejia ME, Hendricks H, Jenq RR, Reddy P, Banerjee R, Schraw JM, Baldridge MT, King KY.",HemaSphere,2024,journal article; research-article,false,true,2,,,https://europepmc.org/article/MED/39525856,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.1002/hep4.1699,europe_pmc,MED,10.1002/hep4.1699,34141983,PMC8183172,,Metabolomic Analysis Uncovers Energy Supply Disturbance as an Underlying Mechanism of the Development of Alcohol-Associated Liver Cirrhosis,"Huang Y, Niu M, Jing J, Zhang ZT, Zhao X, Chen SS, Li SS, Shi Z, Huang A, Zou ZS, Yu YC, Xiao XH, Liangpunsakul S, Wang JB.",Hepatology communications,2021,journal article; research-article,false,true,12,,,https://europepmc.org/article/MED/34141983,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.1002/hsr2.70067,europe_pmc,MED,10.1002/hsr2.70067,39263536,PMC11387465,,The effects of acute aerobic exercise on appetite-regulating parameters and energy intake in males with obesity,"Khodabandeh S, Rahmani-Nia F, Mirzaei B, Fairchild TJ, Hazell TJ.",Health science reports,2024,journal article; research-article,false,true,5,,,https://europepmc.org/article/MED/39263536,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.1002/jimd.12732,europe_pmc,MED,10.1002/jimd.12732,38556470,,,The clinical relevance of novel biomarkers as outcome parameter in adults with phenylketonuria,"van Wegberg AMJ, van der Weerd JC, Engelke UFH, Coene KLM, Jahja R, Bakker SJL, Huijbregts SCJ, Wevers RA, Heiner-Fokkema MR, van Spronsen FJ.",Journal of inherited metabolic disease,2024,"journal article; research support, non-u.s. gov't",false,false,13,,,https://europepmc.org/article/MED/38556470,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/mco2.70718,europe_pmc,MED,10.1002/mco2.70718,41938174,PMC13045211,,Identification of Blood Pressure-Associated Metabolites by Integrating Metabolomic and Genetic Analysis,"Liu Y, Cheng C, Pan XF, Shao W, Zhou D, Zhu Y.",MedComm,2026,journal article; research-article,false,true,,,,https://europepmc.org/article/MED/41938174,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.1002/mco2.70820,europe_pmc,MED,10.1002/mco2.70820,42292855,PMC13263790,,Increased Brown Adipose Tissue Thermogenesis in Phenylketonuria,"López-Rey N, Cabaleiro A, Pata MP, Peyrou M, Estévez-Salguero Á, Fernández-Sanmartín P, Morgan DA, Ferreira V, Sánchez-Pintos P, Folgueira C, Diéguez C, Urisarri A, González-García I, Seoane LM, Rahmouni K, Villarroya F, Couce ML, Nogueiras R, López M.",MedComm,2026,journal article; research-article,false,true,,,,https://europepmc.org/article/MED/42292855,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/oby.24223,europe_pmc,MED,10.1002/oby.24223,39948829,PMC11897867,,Skeletal muscle growth to combat diabetes and obesity: the potential role of muscle-secreted factors,"Sammut MJ, Thorne BR, Melling CWJ.","Obesity (Silver Spring, Md.)",2025,journal article; review; review-article,false,true,4,,,https://europepmc.org/article/MED/39948829,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/ptr.70152,europe_pmc,MED,10.1002/ptr.70152,41432714,,,Hydroxysafflor Yellow A Promotes Lac-Phe Synthesis to Suppress GIP and Ameliorate Obesity in DIO Mice,"Hu W, Yan K, Lyu X, Hou R, Jiang Y, Guo X, Zhou Z, Zhao Y, Wang L, Yang H, Zhu H, Pan H, Yang Q, Gong F.",Phytotherapy research : PTR,2026,journal article,false,false,,,,https://europepmc.org/article/MED/41432714,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1002/ueg2.70069,europe_pmc,MED,10.1002/ueg2.70069,40536441,PMC12463733,,Multi-Omics Analysis of Ileal Mucosa and Mesentery Before and After Ileocecal Resection in Crohn's Disease,"Xia K, Jiao Y, Zhang L, Gao R, Wang F, Pan Y, Cui S, Lin Y, Wu T, Li L, Wu X, Ruan Y, Sun J, Yin L, Chen C, Lin M.",United European gastroenterology journal,2025,journal article; research-article,false,true,1,,,https://europepmc.org/article/MED/40536441,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.1007/978-3-540-71095-0_5776,crossref,book-chapter,10.1007/978-3-540-71095-0_5776,,,,Lactoyl Methylsilanol Elastinate,Bährle-Rapp M,Springer Lexikon Kosmetik und Körperpflege,2007,book-chapter,false,,,,,https://doi.org/10.1007/978-3-540-71095-0_5776,N-Lactoyl phenylalanine,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1007/978-3-540-71095-0_5776,crossref,book-chapter,10.1007/978-3-540-71095-0_5776,,,,Lactoyl Methylsilanol Elastinate,Bährle-Rapp M,Springer Lexikon Kosmetik und Körperpflege,2007,book-chapter,false,,,,,https://doi.org/10.1007/978-3-540-71095-0_5776,N-lactoyl-phenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1007/978-3-540-71095-0_5777,crossref,book-chapter,10.1007/978-3-540-71095-0_5777,,,,Lactoyl Phytosphingosine,Bährle-Rapp M,Springer Lexikon Kosmetik und Körperpflege,2007,book-chapter,false,,,,,https://doi.org/10.1007/978-3-540-71095-0_5777,N-Lactoyl phenylalanine,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1007/978-3-540-71095-0_5777,crossref,book-chapter,10.1007/978-3-540-71095-0_5777,,,,Lactoyl Phytosphingosine,Bährle-Rapp M,Springer Lexikon Kosmetik und Körperpflege,2007,book-chapter,false,,,,,https://doi.org/10.1007/978-3-540-71095-0_5777,N-lactoyl-phenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1007/978-3-642-86605-0_178,crossref,book-chapter,10.1007/978-3-642-86605-0_178,,,,Lactoyl-CoA dehydratase,"Schomburg D, Salzmann M",Enzyme Handbook 1,1990,book-chapter,false,,,,,https://doi.org/10.1007/978-3-642-86605-0_178,N-Lactoyl phenylalanine,https://api.crossref.org/works?query.bibliographic=N-Lactoyl+phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1007/978-3-642-86605-0_178,crossref,book-chapter,10.1007/978-3-642-86605-0_178,,,,Lactoyl-CoA dehydratase,"Schomburg D, Salzmann M",Enzyme Handbook 1,1990,book-chapter,false,,,,,https://doi.org/10.1007/978-3-642-86605-0_178,N-lactoyl-phenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoyl-phenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.1007/s00125-024-06282-6,europe_pmc,MED,10.1007/s00125-024-06282-6,39349772,PMC11604760,,Role of human plasma metabolites in prediabetes and type 2 diabetes from the IMI-DIRECT study,"Sharma S, Dong Q, Haid M, Adam J, Bizzotto R, Fernandez-Tajes JJ, Jones AG, Tura A, Artati A, Prehn C, Kastenmüller G, Koivula RW, Franks PW, Walker M, Forgie IM, Giordano G, Pavo I, Ruetten H, Dermitzakis M, McCarthy MI, Pedersen O, Schwenk JM, Tsirigos KD, De Masi F, Brunak S, Viñuela A, Mari A, McDonald TJ, Kokkola T, Adamski J, Pearson ER, Grallert H.",Diabetologia,2024,journal article; research-article,false,true,17,,,https://europepmc.org/article/MED/39349772,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1007/s10557-026-07858-7,crossref,journal-article,10.1007/s10557-026-07858-7,,,,"N-Lac-Phe Ameliorates Myocardial Cell Death by Improving Mitochondrial Dysfunction, Ultimately Improving TAC-induced Heart Failure","Sha L, Du A, Xu X, Li Z, Xu B, Kang L",Cardiovascular Drugs and Therapy,2026,journal-article,false,,,,,https://doi.org/10.1007/s10557-026-07858-7,Lac-Phe,https://api.crossref.org/works?query.bibliographic=Lac-Phe&rows=50&sort=relevance,crossref_rest_works
doi:10.1007/s10557-026-07858-7,europe_pmc,MED,10.1007/s10557-026-07858-7,41746499,,,"N-Lac-Phe Ameliorates Myocardial Cell Death by Improving Mitochondrial Dysfunction, Ultimately Improving TAC-induced Heart Failure","Sha L, Du A, Xu X, Li Z, Xu B, Kang L.",Cardiovascular drugs and therapy,2026,journal article,false,false,,,,https://europepmc.org/article/MED/41746499,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1007/s11306-024-02089-z,europe_pmc,MED,10.1007/s11306-024-02089-z,38446263,PMC10917846,,Circulating N-lactoyl-amino acids and N-formyl-methionine reflect mitochondrial dysfunction and predict mortality in septic shock,"Rogers RS, Sharma R, Shah HB, Skinner OS, Guo XA, Panda A, Gupta R, Durham TJ, Shaughnessy KB, Mayers JR, Hibbert KA, Baron RM, Thompson BT, Mootha VK.",Metabolomics : Official journal of the Metabolomic Society,2024,journal article; research-article,false,true,33,,,https://europepmc.org/article/MED/38446263,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.1007/s11306-025-02260-0,crossref,journal-article,10.1007/s11306-025-02260-0,,,,Exercise intensity determines circulating levels of Lac-Phe and other exerkines: a randomized crossover trial,"Weber D, Ferrario P, Bub A",Metabolomics,2025,journal-article,false,,23,,,https://doi.org/10.1007/s11306-025-02260-0,Lac-Phe,https://api.crossref.org/works?query.bibliographic=Lac-Phe&rows=50&sort=relevance,crossref_rest_works
doi:10.1007/s11306-025-02260-0,europe_pmc,MED,10.1007/s11306-025-02260-0,40335829,PMC12058925,,Exercise intensity determines circulating levels of Lac-Phe and other exerkines: a randomized crossover trial,"Weber D, Ferrario PG, Bub A.",Metabolomics : Official journal of the Metabolomic Society,2025,journal article; randomized controlled trial; research-article,false,true,16,,,https://europepmc.org/article/MED/40335829,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
