record_key,source_system,source_subset,doi,pmid,pmcid,preprint_server,title,authors,journal,publication_year,publication_types,is_preprint,is_open_access,cited_by_count,linked_published_doi,preprint_version_count,record_url,queried_expression,source_url,retrieved_via
doi:10.3390/metabo11010008,europe_pmc,MED,10.3390/metabo11010008,33375624,PMC7824495,,Using Out-of-Batch Reference Populations to Improve Untargeted Metabolomics for Screening Inborn Errors of Metabolism,"Bongaerts M, Bonte R, Demirdas S, Jacobs EH, Oussoren E, van der Ploeg AT, Wagenmakers MAEM, Hofstra RMW, Blom HJ, Reinders MJT, Ruijter GJG.",Metabolites,2020,journal article; research-article,false,true,10,,,https://europepmc.org/article/MED/33375624,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.3390/metabo12090787,europe_pmc,MED,10.3390/metabo12090787,36144194,PMC9505353,,The Roles of Gut Microbiome and Plasma Metabolites in the Associations between ABO Blood Groups and Insulin Homeostasis: The Microbiome and Insulin Longitudinal Evaluation Study (MILES),"Li-Gao R, Grubbs K, Bertoni AG, Hoffman KL, Petrosino JF, Ramesh G, Wu M, Rotter JI, Chen YI, Evans AM, Robinson RJ, Sommerville L, Mook-Kanamori D, Goodarzi MO, Michelotti GA, Sheridan PA.",Metabolites,2022,journal article; research-article,false,true,6,,,https://europepmc.org/article/MED/36144194,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.3390/metabo12090804,europe_pmc,MED,10.3390/metabo12090804,36144209,PMC9501346,,Metabolite Changes in Orange Dead Leaf Butterfly Kallima inachus during Ontogeny and Diapause,"Li MJ, Jiang GF, Wang W.",Metabolites,2022,journal article; research-article,false,true,5,,,https://europepmc.org/article/MED/36144209,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.3390/metabo13010015,crossref,journal-article,10.3390/metabo13010015,,,,Exercise-Induced N-Lactoylphenylalanine Predicts Adipose Tissue Loss during Endurance Training in Overweight and Obese Humans,"Hoene M, Zhao X, Machann J, Birkenfeld A, Heni M, Peter A, Niess A, Moller A, Lehmann R, Xu G, Weigert C",Metabolites,2022,journal-article,false,,30,,,https://doi.org/10.3390/metabo13010015,N-lactoylphenylalanine,https://api.crossref.org/works?query.bibliographic=N-lactoylphenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.3390/metabo13010015,crossref,journal-article,10.3390/metabo13010015,,,,Exercise-Induced N-Lactoylphenylalanine Predicts Adipose Tissue Loss during Endurance Training in Overweight and Obese Humans,"Hoene M, Zhao X, Machann J, Birkenfeld A, Heni M, Peter A, Niess A, Moller A, Lehmann R, Xu G, Weigert C",Metabolites,2022,journal-article,false,,30,,,https://doi.org/10.3390/metabo13010015,lactoylphenylalanine,https://api.crossref.org/works?query.bibliographic=lactoylphenylalanine&rows=50&sort=relevance,crossref_rest_works
doi:10.3390/metabo13010015,europe_pmc,MED,10.3390/metabo13010015,36676940,PMC9863672,,Exercise-Induced N-Lactoylphenylalanine Predicts Adipose Tissue Loss during Endurance Training in Overweight and Obese Humans,"Hoene M, Zhao X, Machann J, Birkenfeld AL, Heni M, Peter A, Niess A, Moller A, Lehmann R, Xu G, Weigert C.",Metabolites,2022,journal article; research-article,false,true,25,,,https://europepmc.org/article/MED/36676940,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.3390/metabo14080433,europe_pmc,MED,10.3390/metabo14080433,39195529,PMC11356577,,Deciphering Blood Flow Restriction Training to Aid Lipid Lowering in Obese College Students through Untargeted Metabolomics,"Cui X, Anatolevna ST, Wang Y.",Metabolites,2024,journal article; research-article,false,true,2,,,https://europepmc.org/article/MED/39195529,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.3390/metabo14090479,europe_pmc,MED,10.3390/metabo14090479,39330486,PMC11434371,,Impact of Phenylketonuria on the Serum Metabolome and Plasma Lipidome: A Study in Early-Treated Patients,"Weerd JCV, Wegberg AMJV, Boer TS, Engelke UFH, Coene KLM, Wevers RA, Bakker SJL, Blaauw P, Groen J, Spronsen FJV, Heiner-Fokkema MR.",Metabolites,2024,journal article; research-article,false,true,4,,,https://europepmc.org/article/MED/39330486,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIP8mECig1MzA0MzQ4OA%3D%3D,europe_pmc_rest_search
doi:10.3390/metabo14110589,europe_pmc,MED,10.3390/metabo14110589,39590824,PMC11596326,,Exercise as a Therapeutic Strategy for Obesity: Central and Peripheral Mechanisms,"Zhang Y, Wang R, Liu T, Wang R.",Metabolites,2024,journal article; review; review-article,false,true,13,,,https://europepmc.org/article/MED/39590824,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.3390/metabo15050342,europe_pmc,MED,10.3390/metabo15050342,40422918,PMC12113954,,Lipid Subclasses Differentiate Insulin Resistance by Triglyceride-Glucose Index,"Naja K, Anwardeen N, Albagha O, Elrayess MA.",Metabolites,2025,journal article; research-article,false,true,3,,,https://europepmc.org/article/MED/40422918,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.3390/metabo15060349,europe_pmc,MED,10.3390/metabo15060349,40559373,PMC12194923,,An Integrated Analysis of Transcriptomic and Metabolomic Effects Reveals Insights into Stress Responses in Largemouth Bass ( Micropterus salmoides ) Under MS-222 (Tricaine Methanesulfonate) Exposure,"Gao P, Chen R, Ma D, Lin S, Yu H, Zhang X.",Metabolites,2025,journal article; research-article,false,true,1,,,https://europepmc.org/article/MED/40559373,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
doi:10.3390/metabo15060375,crossref,journal-article,10.3390/metabo15060375,,,,High-Calorie Diet Consumption Induces Lac-Phe Changes in the Brain in a Time-of-Day Manner Independent of Exercise,"Jermei J, Jiao H, Shiba A, Goedhart J, Tandari R, Kalsbeek A, Struys E, Yi C",Metabolites,2025,journal-article,false,,4,,,https://doi.org/10.3390/metabo15060375,Lac-Phe,https://api.crossref.org/works?query.bibliographic=Lac-Phe&rows=50&sort=relevance,crossref_rest_works
doi:10.3390/metabo15060375,europe_pmc,MED,10.3390/metabo15060375,40559399,PMC12195154,,High-Calorie Diet Consumption Induces Lac-Phe Changes in the Brain in a Time-of-Day Manner Independent of Exercise,"Jermei J, Jiao H, Shiba A, Goedhart JC, Tandari R, Kalsbeek A, Struys EA, Yi CX.",Metabolites,2025,journal article; research-article,false,true,4,,,https://europepmc.org/article/MED/40559399,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=%2A,europe_pmc_rest_search
doi:10.3390/metabo16050335,europe_pmc,MED,10.3390/metabo16050335,42188044,PMC13208174,,The Effect of Angiotensin (1-7) on Serum Metabolomics in Obese Type 2 Diabetic Mice,"Chen Q, Sun M, Wang H, Lu C.",Metabolites,2026,journal article; research-article,false,true,,,,https://europepmc.org/article/MED/42188044,"(""N-Lactoyl phenylalanine"" OR ""Lac-Phe"" OR ""N-lactoylphenylalanine"" OR ""lactoylphenylalanine"" OR ""N-lactoyl-phenylalanine"")",https://www.ebi.ac.uk/europepmc/webservices/rest/search?query=%28%22N-Lactoyl+phenylalanine%22+OR+%22Lac-Phe%22+OR+%22N-lactoylphenylalanine%22+OR+%22lactoylphenylalanine%22+OR+%22N-lactoyl-phenylalanine%22%29&format=json&resultType=core&pageSize=100&cursorMark=AoIIQG6ytCg1MTU3MDY0Nw%3D%3D,europe_pmc_rest_search
