study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute,license,license_url,revision_comment,revision_datetime,revision_no,study_url,version
ST003157,Diet modulates the protective effects of dimethyl fumarate mediated by the immunometabolic neutrophil receptor HCA2 - Lipidomics,Mus musculus,LC-MS,56,2024-04-04,2025-03-31,University of Luebeck,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003159,Untargeted serum metabolomics in the Parkinson's Environment and Genes (PEG) Study,Homo sapiens,LC-MS,919,2024-04-05,2024-04-23,"University of California, Los Angeles",CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003160,New class of heterospirocyclic compounds present strong and rapid activity against artemisinin- and multidrug-resistant P. falciparum parasites,Plasmodium falciparum,LC-MS,20,2024-04-08,2024-04-29,Monash University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003161,Diet-omics in the Study of Urban and Rural Crohn disease Evolution (SOURCE) cohort,Homo sapiens,LC-MS,37,2024-04-10,2024-04-16,Sheba hospital,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003162,Loss of dihydroceramide desaturase drives neurodegeneration by disrupting endoplasmic reticulum and lipid droplet homeostasis in glial cells,Drosophila melanogaster,LC-MS,40,2024-04-11,2024-04-12,Washington University in St. Louis,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003165,Spatial Lipidomics Maps Brain Alterations Associated with Mild Traumatic Brain Injury.,Rattus norvegicus,MALDI-MS,11,2024-04-11,2024-04-30,Georgia Institute of Technology,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003166,Metabolomics of Murine WT or MCJ KO CD19-BBz CD8 CAR-T cells,Mus musculus,LC-MS,8,2024-04-12,2024-05-02,University of Colorado School of Medicine,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003167,Metabolomics of Human CD19-BBz CD8 CAR-T cells with low and high MCJ expression,Homo sapiens,LC-MS,6,2024-04-12,2024-05-02,University of Colorado School of Medicine,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003168,Lipidomic analysis of cryopreserved human cardiac tissue from young and ageing adults,Homo sapiens,LC-MS,23,2024-04-12,2024-05-03,University of Sydney,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003169,Metabolomics of infused Murine WT or MCJ KO CD19-BBz CD8 CAR-T cells from Leukemia-bearing Mice,Mus musculus,LC-MS,6,2024-04-12,2024-05-02,University of Colorado School of Medicine,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003170,Metabolomics of Murine WT or MCJ KO CD19-BBz CD8 CAR-T cells rest in medium,Mus musculus,LC-MS,6,2024-04-12,2024-05-02,University of Colorado School of Medicine,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003171,Untargeted Metabolomics for Exploring Metabolomic Profile of Maple Syrup Urine Disease Sick Patients,Homo sapiens,LC-MS,28,2024-04-16,2024-04-29,King Saud University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003172,Untargeted Metabolomic Profile Of Chili Pepper (Capsicum Chinensed) Developmental Cycle,Chili Pepper (Capsicum Chinense),LC-MS,48,2024-04-16,2024-04-18,University of Alberta,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003173,Assessment and partial characterization of candidate genes in dihydrochalcone and arbutin biosynthesis in an apple-pear hybrid by de novo transcriptome assembly,Malus domestica/Pyrus communis/Apple-pear intergeneric hybrid,LC-MS,39,2024-04-17,2024-05-03,Fondazione Edmund Mach,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003174,O-GlcNAcase activity maintains stress granules for proximity-enhanced ATP production to ensure recovery from stress (Part 3),Homo sapiens,LC-MS,12,2024-04-18,2024-04-30,Zhejiang University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003175,Inactivation of mitochondrial MUL1 E3 ubiquitin ligase inhibits lipogenesis and prevents diet-induced obesity in mice,Mus musculus,LC-MS,8,2024-04-19,2024-04-19,University of Florida,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003176,Chronic manganese exposure disrupts glutamatergic signaling and alters behavior in APP/PSEN1 mice.,Mus musculus,LC-MS,105,2024-04-19,2024-10-18,Vanderbilt University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003177,"A Longitudinal Study in Rheumatoid Arthritis Unveils Metabolomic Biomarkers Preceding Clinical Onset, Assessing Disease Severity, and Anticipating Treatment Response to csDMARDs",Homo sapiens,LC-MS,2492,2024-04-22,2024-05-11,West China Hospital of Sichuan University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003178,Post-Infectious MECFS at the NIH,Homo sapiens,LC-MS,38,2024-04-23,2024-05-14,National Institutes of Health,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
ST003179,Property and Activity Refinement of Dihydroquinazolinone-3-carboxamides as Orally Efficacious Antimalarials that Target PfATP4,Plasmodium falciparum,LC-MS,13,2024-04-24,2024-05-15,Monash University,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,-,-,1,https://www.metabolomicsworkbench.org/data/DRCCMetadata.php?StudyID=ST003,1
