study_id,analysis_id,analysis_summary,analysis_type,chromatography_type,ms_instrument_type,ion_mode,units,assay_scope,assay_scope_basis,chromatography system,column_name,ms_instrument_name,ms_type,nmr_experiment_type,nmr_instrument_type,nmr_solvent,spectrometer_frequency
ST000001,AN000001,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000002,AN000002,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000003,AN000003,LC/MS positive ion mode,MS,HILIC,QTOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1290 Infinity,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST000004,AN000004,Fatty acid/eicosanoid MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000005,Phospholipid MS quantitative analysis with odd-chain standards,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000006,Sphingolipid MS quantitative analysis with C12 standards,MS,,-,UNSPECIFIED,nmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000007,Sterol MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,nmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000008,Prenol/Cardiolipin MS quantitative analysis,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000009,Triacylglycerol MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000010,Diacylglycerol MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,pmol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000004,AN000011,Cholesteryl Ester MS quantitative analysis with deuterated standards,MS,,-,UNSPECIFIED,umol/ml,unclassified_or_other,no explicit targeted/untargeted label,,,-,ESI,,,,
ST000005,AN000012,Combined analysis,MS,,Multiple,UNSPECIFIED,pmol/ug DNA,unclassified_or_other,no explicit targeted/untargeted label,Multiple,Multiple,Multiple,Multiple,,,,
ST000006,AN000020,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000007,AN000021,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000009,AN000023,LC/Electro-spray /QTOF positive ion mode,MS,,QTOF,POSITIVE,Peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,,,Agilent 6530 QTOF,ESI,,,,
ST000009,AN000024,LC/Electro-spray /QTOF negative ion mode,MS,,QTOF,NEGATIVE,Peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,,,Agilent 6530 QTOF,ESI,,,,
ST000010,AN000025,LC/Electro-spray /QTOF positive ion mode,MS,,QTOF,POSITIVE,Peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,,,Agilent 6530 QTOF,ESI,,,,
ST000010,AN000026,LC/Electro-spray /QTOF negative ion mode,MS,,QTOF,NEGATIVE,Peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,,,Agilent 6530 QTOF,ESI,,,,
ST000011,AN000027,LC/Electro-spray /QTOF positive ion mode,MS,,QTOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,,,Agilent 6530 QTOF,ESI,,,,
ST000011,AN000028,LC/Electro-spray /QTOF negative ion mode,MS,,QTOF,NEGATIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,,,Agilent 6530 QTOF,ESI,,,,
ST000012,AN000029,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000013,AN000030,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000014,AN000031,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000015,AN000032,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,,Leco Pegasus III GC TOF,EI,,,,
ST000016,AN000033,LC/MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3 reversed-phase,Agilent 6530 QTOF,ESI,,,,
ST000017,AN000034,LC/Electro-spray /QTOF positive ion mode,MS,Reversed phase,QTOF,POSITIVE,peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3 reversed-phase,Agilent 6530 QTOF,ESI,,,,
ST000017,AN000035,LC/Electro-spray /QTOF negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3 reversed-phase,Agilent 6530 QTOF,ESI,,,,
ST000019,AN000037,1H NMR 500 MHz,NMR,Reversed phase,,,,unclassified_or_other,no explicit targeted/untargeted label,Thermo Accela 1250,Thermo Scientific Gold aQ,,,1D 1H,FT-NMR,D2O,500 MHz
ST000019,AN000038,MS positive ion mode,MS,Reversed phase,Orbitrap,POSITIVE,,unclassified_or_other,no explicit targeted/untargeted label,Thermo Accela 1250,Thermo Scientific Gold aQ,Thermo Q Exactive Orbitrap,ESI,,,,
ST000020,AN000039,1H NMR 950 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,950 MHz
ST000022,AN000041,1H NMR 950 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,950 MHz
ST000025,AN000045,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,peak area,unclassified_or_other,no explicit targeted/untargeted label,Leco Pegasus IV GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",Leco Pegasus IV TOF,EI,,,,
ST000026,AN000046,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000027,AN000047,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000028,AN000048,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000029,AN000049,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000030,AN000050,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000031,AN000051,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000032,AN000052,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000033,AN000053,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000034,AN000054,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000035,AN000055,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000036,AN000056,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000037,AN000057,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000038,AN000058,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000039,AN000059,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,700 MHz
ST000040,AN000060,MS positive ion mode,MS,Reversed phase,Orbitrap,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Thermo Accela 1250,Thermo Scientific Gold aQ,Thermo Q Exactive Orbitrap,ESI,,,,
ST000040,AN000061,MS negative ion mode,MS,Reversed phase,Orbitrap,NEGATIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Thermo Accela 1250,Thermo Scientific Gold aQ,Thermo Q Exactive Orbitrap,ESI,,,,
ST000041,AN000062,MS negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Counts,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000041,AN000063,MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Counts,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000042,AN000064,MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Counts,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000042,AN000065,MS negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Counts,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000044,AN000068,MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Counts,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000044,AN000069,MS negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Counts,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000043,AN000070,MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Counts,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000043,AN000071,MS negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000045,AN000072,MS positive ion mode/C18,MS,Reversed phase,TOF,POSITIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Agilent 6220 TOF,ESI,,,,
ST000045,AN000073,MS positive ion mode/HILIC,MS,HILIC,TOF,POSITIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters ethylene-bridged hybrid (150 x 2.1mm,1.7um)",Agilent 6220 TOF,ESI,,,,
ST000045,AN000074,MS negative ion mode/C18,MS,Reversed phase,TOF,NEGATIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Agilent 6220 TOF,ESI,,,,
ST000045,AN000075,MS negative ion mode/HILIC,MS,HILIC,TOF,NEGATIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters ethylene-bridged hybrid (150 x 2.1mm,1.7um)",Agilent 6220 TOF,ESI,,,,
ST000046,AN000076,MS positive ion mode/C18,MS,Reversed phase,TOF,POSITIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Agilent 6220 TOF,ESI,,,,
ST000046,AN000077,MS positive ion mode/HILIC,MS,HILIC,TOF,POSITIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters ethylene-bridged hybrid (150 x 2.1mm,1.7um)",Agilent 6220 TOF,ESI,,,,
ST000046,AN000078,MS negative ion mode/C18,MS,Reversed phase,TOF,NEGATIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Agilent 6220 TOF,ESI,,,,
ST000046,AN000079,MS negative ion mode/HILIC,MS,HILIC,TOF,NEGATIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters ethylene-bridged hybrid (150 x 2.1mm,1.7um)",Agilent 6220 TOF,ESI,,,,
ST000047,AN000080,MS positive ion mode/C18,MS,Reversed phase,TOF,POSITIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Agilent 6220 TOF,ESI,,,,
ST000047,AN000081,MS positive ion mode/HILIC,MS,HILIC,TOF,POSITIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters ethylene-bridged hybrid (150 x 2.1mm,1.7um)",Agilent 6220 TOF,ESI,,,,
ST000047,AN000082,MS negative ion mode/C18,MS,Reversed phase,TOF,NEGATIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters high-strength silica (150 x 2.1mm,1.8um)",Agilent 6220 TOF,ESI,,,,
ST000047,AN000083,MS negative ion mode/HILIC,MS,HILIC,TOF,NEGATIVE,Raw MS Intensities,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters ethylene-bridged hybrid (150 x 2.1mm,1.7um)",Agilent 6220 TOF,ESI,,,,
ST000048,AN000084,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak Area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,Restek corporation Rtx-5Sil MS,Leco Pegasus III GC TOF,EI,,,,
ST000049,AN000085,1H NMR 950 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D20,950 MHz
ST000050,AN000086,1H NMR 950 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,950 MHz
ST000051,AN000087,1H NMR 950 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,950 MHz
ST000054,AN000092,MS positive ion mode,MS,GC,GC x GC-TOF,POSITIVE,Peak height,unclassified_or_other,no explicit targeted/untargeted label,Leco Pegasus 4D GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",Leco Pegasus 4D GCxGC TOF,EI,,,,
ST000055,AN000093,MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000056,AN000094,1H NMR 700 MHz,NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,10 % D2O,700 MHz
ST000057,AN000095,MS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,Restek Corporation Rtx-5Sil MS,Leco GC-TOF,EI,,,,
ST000058,AN000096,MS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,Restek Corporation Rtx-5Sil MS,Leco GC-TOF,EI,,,,
ST000061,AN000099,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,Restek Corporation Rtx-5Sil MS,Leco GC-TOF,EI,,,,
ST000062,AN000100,MS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,Restek Corporation Rtx-5Sil MS,Leco GC-TOF,EI,,,,
ST000063,AN000101,MS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,Restek Corporation Rtx-5Sil MS,Leco GC-TOF,EI,,,,
ST000065,AN000103,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,Restek Corporation Rtx-5Sil MS,Leco GC-TOF,EI,,,,
ST000069,AN000107,MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000069,AN000108,MS negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000070,AN000109,MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000070,AN000110,MS negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000071,AN000111,MS positive ion mode,MS,HILIC,QTOF,POSITIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",Waters Synapt G2,ESI,,,,
ST000071,AN000112,MS negative ion mode,MS,HILIC,QTOF,NEGATIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",Waters Synapt G2,ESI,,,,
ST000072,AN000113,ESI/QTOF positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Normalized abundance,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000072,AN000114,ESI/QTOF negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Normalized abundance,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000073,AN000115,ESI/QTOF positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000073,AN000116,ESI/QTOF negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Normalized abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000074,AN000117,ESI/QTOF positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Normalized abundance,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000074,AN000118,ESI/QTOF negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Normalized abundance,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity HSS T3 (100 x 2.1mm,1.8um)",Waters Synapt G2,ESI,,,,
ST000075,AN000119,ESI/QTOF positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST000075,AN000120,ESI/QTOF negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6550 QTOF,ESI,,,,
ST000076,AN000121,FTMS negative ion mode,MS,GC,Single quadrupole,NEGATIVE,normalized corrected Peak area,unclassified_or_other,no explicit targeted/untargeted label,,,Thermo LTQ-FT,ESI,,,,
ST000076,AN000122,GCMS positive ion mode,MS,GC,GC-ITQ,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,,,Thermo ITQ,EI,,,,
ST000077,AN000123,ESI/QTOF positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST000077,AN000124,ESI/QTOF negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6550 QTOF,ESI,,,,
ST000081,AN000131,ESI/QTOF positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST000081,AN000132,ESI/QTOF negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6550 QTOF,ESI,,,,
ST000082,AN000133,ESI/QTOF positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST000082,AN000134,ESI/QTOF negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6550 QTOF,ESI,,,,
ST000083,AN000135,GCMS positive ion mode,MS,GC,Single quadrupole,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 7890A,"Agilent HP5-MS (30m × 0.25mm, 0.25 um)",Agilent 5975C,EI,,,,
ST000084,AN000136,GCMS positive ion mode,MS,GC,Single quadrupole,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 7890A,"Agilent HP5-MS (30m × 0.25mm, 0.25 um)",Agilent 5975C,EI,,,,
ST000085,AN000137,GCMS positive ion mode,MS,GC,Single quadrupole,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 7890A,"Agilent HP5-MS (30m × 0.25mm, 0.25 um)",Agilent 5975C,EI,,,,
ST000087,AN000139,GCMS positive ion mode,MS,GC,GC-TOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6890N,Restek Corporation Rtx-5Sil MS,Leco GC-TOF,EI,,,,
ST000089,AN000141,UHPLC-QTOFMS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST000089,AN000142,UHPLC-QTOFMS negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6550 QTOF,ESI,,,,
ST000090,AN000143,MS positive ion mode,MS,Reversed phase,QTOF,POSITIVE,counts,explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000090,AN000144,MS negative ion mode,MS,Reversed phase,QTOF,NEGATIVE,counts,explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 1200,Waters Acquity HSS T3,Agilent 6530 QTOF,ESI,,,,
ST000091,AN000145,MS positive ion mode,MS,Reversed phase,Triple quadrupole,POSITIVE,uM,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity,"Waters Acquity BEH C18 (150 x 2.1mm,1.7um)",Thermo Quantum Ultra,ESI,,,,
ST000092,AN000146,MS positive ion mode,MS,GC,Single quadrupole,POSITIVE,Peak area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 7890A,"Agilent HP5-MS (30m × 0.25mm, 0.25 um)",Agilent 5975C,EI,,,,
ST000093,AN000147,GCMS positive ion mode,MS,GC,Single quadrupole,POSITIVE,Unspecified,unclassified_or_other,no explicit targeted/untargeted label,,"GCMS-5% phenyldimethyl silicone,2.1 mm 100 mm Waters BEH C18 1.7um particles",Thermo Trace DSQ,EI,,,,
ST000093,AN000148,LC/MS positive ion mode,MS,GC,Single quadrupole,POSITIVE,Unspecified,unclassified_or_other,no explicit targeted/untargeted label,,"GCMS-5% phenyldimethyl silicone,2.1 mm 100 mm Waters BEH C18 1.7um particles",Thermo LTQ,ESI,,,,
ST000093,AN000149,LC/MS negative ion mode,MS,GC,Single quadrupole,NEGATIVE,Unspecified,unclassified_or_other,no explicit targeted/untargeted label,,"GCMS-5% phenyldimethyl silicone,2.1 mm 100 mm Waters BEH C18 1.7um particles",Thermo LTQ,ESI,,,,
ST000095,AN000151,MS negative ion mode,MS,Reversed phase,Triple quadrupole,NEGATIVE,% abundance,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity UPLC ,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",ABI Sciex API 6500 QTrap,ESI,,,,
ST000096,AN000152,"Oxylipins analysis,Negative",MS,,Triple quadrupole,NEGATIVE,Area %,unclassified_or_other,no explicit targeted/untargeted label,,,ABI Sciex API 4000 QTrap,ESI,,,,
ST000096,AN000153,"Ceramide analysis, Positive",MS,,Triple quadrupole,POSITIVE,nM,unclassified_or_other,no explicit targeted/untargeted label,,,ABI Sciex API 4000 QTrap,ESI,,,,
ST000096,AN000154,"Endocannabinoid analysis, positive",MS,,Triple quadrupole,POSITIVE,nM,unclassified_or_other,no explicit targeted/untargeted label,,,ABI Sciex API 4000 QTrap,ESI,,,,
ST000097,AN000155,"NMR: Varian, VNMRJ, (1D 13C)",NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 13C,FT-NMR,D2O,600 MHz
ST000097,AN000156,"NMR: Varian, VNMRJ, (1D 1H)",NMR,,,,,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D 1H,FT-NMR,D2O,600 MHz
ST000098,AN000157,ESI positive ion mode/Full MS,MS,,Orbitrap,POSITIVE,,unclassified_or_other,no explicit targeted/untargeted label,,,Thermo Q Exactive Orbitrap,ESI,,,,
