study_id,analysis_id,analysis_summary,analysis_type,chromatography_type,ms_instrument_type,ion_mode,units,assay_scope,assay_scope_basis,chromatography system,column_name,ms_instrument_name,ms_type,nmr_experiment_type,nmr_instrument_type,nmr_solvent,spectrometer_frequency
ST001194,AN001990,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Triple TOF,NEGATIVE,Peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Shimadzu LC-30AD Series UPLC system,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",ABI Sciex 5600+ TripleTOF,ESI,,,,
ST001195,AN001991,GC POSITIVE ION MODE,MS,GC,GC-TOF,POSITIVE,spectral abundance per cell,explicit_untargeted,Metabolomics Workbench untarg_studies index,Thermo ISQ,Trace 1310 GC,Thermo ISQ,EI,,,,
ST001196,AN001992,GC POSITIVE ION MODE,MS,GC,GC-TOF,POSITIVE,spectral abundance per cell,explicit_untargeted,Metabolomics Workbench untarg_studies index,Thermo ISQ,Trace 1310 GC,Thermo ISQ,EI,,,,
ST001197,AN001993,GC POSITIVE ION MODE,MS,GC,GC-TOF,POSITIVE,spectral abundance per cell,unclassified_or_other,no explicit targeted/untargeted label,Thermo ISQ,Trace 1310 GC,Thermo ISQ,EI,,,,
ST001198,AN001994,HILIC UNSPECIFIED ION MODE,MS,HILIC,Triple quadrupole,UNSPECIFIED,spectral abundance per cell,unclassified_or_other,no explicit targeted/untargeted label,Waters Xevo QS,Merck ZIC-pHilic,Waters Xevo QS,ESI,,,,
ST001199,AN001995,Reversed phase POSITIVE ION MODE,MS,Reversed phase,QTOF,POSITIVE,spectral abundance per cell,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Xevo G2,"Waters Acquity UPLC CSH Phenyl Hexyl ( 100 x 1.0mm,1.7um)",Waters Xevo QS,ESI,,,,
ST001200,AN001996,HILIC POSITIVE ION MODE,MS,HILIC,Orbitrap,POSITIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Thermo Dionex Ultimate 3000,Waters XBridge BEH Amide XP HILIC (50 x 2.1mm x 2.5um) with Thermo Accucore HILIC guard,Thermo Q Exactive HF hybrid Orbitrap,ESI,,,,
ST001200,AN001997,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Orbitrap,NEGATIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Thermo Dionex Ultimate 3000,"Higgins endcapped C18 stainless steel (50 x 2.1mm,3um),Product #TS-0521-C183; Thermo Accucore C18 guard with holder,Product #17126-014005",Thermo Q Exactive HF hybrid Orbitrap,ESI,,,,
ST001201,AN001998,pHILIC POSITIVE ION MODE,MS,HILIC,Orbitrap,POSITIVE,Peak intensity,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001201,AN001999,pHILIC NEGATIVE ION MODE,MS,HILIC,Orbitrap,NEGATIVE,Peak Intensity,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001202,AN002000,pHILIC POSITIVE ION MODE,MS,HILIC,Orbitrap,POSITIVE,Peak intensity,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001202,AN002001,pHILIC NEGATIVE ION MODE,MS,HILIC,Orbitrap,NEGATIVE,Peak intensity,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001204,AN002004,pHILIC POSITIVE ION MODE,MS,HILIC,Orbitrap,POSITIVE,Peak intensity,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001204,AN002005,pHILIC NEGATIVE ION MODE,MS,HILIC,Orbitrap,NEGATIVE,Peak intensity,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001205,AN002006,pHILIC POSITIVE ION MODE,MS,HILIC,Orbitrap,POSITIVE,Peak intensity,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001205,AN002007,pHILIC NEGATIVE ION MODE,MS,HILIC,Orbitrap,NEGATIVE,Peak intensity,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001206,AN002008,UHPLC NEGATIVE ION MODE,MS,Reversed phase,Triple TOF,NEGATIVE,Peak Area,unclassified_or_other,no explicit targeted/untargeted label,Ekspert MicroLC 200 system,"Phenomenex Synergi Fusion-RP capillary C18 (150 × 0.5 mm,4um)",ABI Sciex 5600+ TripleTOF,ESI,,,,
ST001207,AN002009,UHPLC NEGATIVE ION MODE,MS,Reversed phase,Triple TOF,NEGATIVE,Peak Area,unclassified_or_other,no explicit targeted/untargeted label,Ekspert MicroLC 200 system,"Phenomenex Synergi Fusion-RP capillary C18 (150 × 0.5 mm,4um)",ABI Sciex 5600+ TripleTOF,ESI,,,,
ST001208,AN002010,Normal phase POSITIVE ION MODE,MS,Reversed phase,Ion trap,POSITIVE,pg,explicit_untargeted,Metabolomics Workbench untarg_studies index,Thermo Dionex Ultimate 3000,Hypersil Gold C18,Thermo Deca LCQ,ESI,,,,
ST001208,AN002011,Normal phase NEGATIVE ION MODE,MS,Reversed phase,Ion trap,NEGATIVE,pg,explicit_untargeted,Metabolomics Workbench untarg_studies index,Thermo Dionex Ultimate 3000,Hypersil Gold C18,Thermo Deca LCQ,ESI,,,,
ST001209,AN002012,HILIC POSITIVE ION MODE,MS,HILIC,Orbitrap,POSITIVE,peak area,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,Waters XBridge BEH Amide XP HILIC (50 x 2.1mm x 2.5um) with Thermo Accucore HILIC guard,Thermo Q Exactive HF hybrid Orbitrap,ESI,,,,
ST001209,AN002013,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Orbitrap,NEGATIVE,peak area,unclassified_or_other,no explicit targeted/untargeted label,Thermo Dionex Ultimate 3000,"Higgins endcapped C18 stainless steel (50 x 2.1mm,3um),Product #TS-0521-C183; Thermo Accucore C18 guard with holder,Product #17126-014005",Thermo Q Exactive HF hybrid Orbitrap,ESI,,,,
ST001210,AN002014,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Triple TOF,POSITIVE,Normalized intensities,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1290,"Waters ACQUITY UPLC CSH C18 (100 x 2.1mm,1.7um,130Å)",ABI Sciex 5600 TripleTOF,ESI,,,,
ST001210,AN002015,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Triple TOF,NEGATIVE,Normalized intensities,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1290,"Waters ACQUITY UPLC CSH C18 (100 x 2.1mm,1.7um,130Å)",ABI Sciex 5600 TripleTOF,ESI,,,,
ST001211,AN002016,GC,MS,GC,GC-TOF,NEGATIVE,Peak height,explicit_untargeted,Metabolomics Workbench untarg_studies index,Leco Pegasus IV GC,"Restek Rtx-5Sil (30m x 0.25mm,0.25um)",Leco Pegasus IV TOF,EI,,,,
ST001211,AN002017,HILIC POSITIVE ION MODE,MS,HILIC,QTOF,POSITIVE,Peak height,explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6530,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST001211,AN002018,Reversed phase POSITIVE ION MODE,MS,Reversed phase,QTOF,POSITIVE,Peak height,explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6530,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6530 QTOF,ESI,,,,
ST001211,AN002019,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,QTOF,NEGATIVE,Peak height,explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6530,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Agilent 6550 QTOF,ESI,,,,
ST001213,AN002024,UHPLC NEGATIVE ION MODE,MS,Reversed phase,Triple TOF,NEGATIVE,Peak Area,unclassified_or_other,no explicit targeted/untargeted label,Ekspert MicroLC 200 system,"Phenomenex Synergi Fusion-RP capillary C18 (150 × 0.5 mm,4um)",ABI Sciex 5600+ TripleTOF,ESI,,,,
ST001214,AN002025,UHPLC NEGATIVE ION MODE,MS,Reversed phase,Triple TOF,NEGATIVE,Peak Area,unclassified_or_other,no explicit targeted/untargeted label,Ekspert MicroLC 200 system,"Phenomenex Synergi Fusion-RP capillary C18 (150 × 0.5 mm,4um)",ABI Sciex 5600+ TripleTOF,ESI,,,,
ST001215,AN002026,UHPLC NEGATIVE ION MODE,MS,Reversed phase,Triple TOF,NEGATIVE,Peak Area,unclassified_or_other,no explicit targeted/untargeted label,Ekspert MicroLC 200 system,"Phenomenex Synergi Fusion-RP capillary C18 (150 × 0.5 mm,4um)",ABI Sciex 5600+ TripleTOF,ESI,,,,
ST001216,AN002027,Reversed phase POSITIVE ION MODE,MS,Reversed phase,QTOF,POSITIVE,Abundance (Log2),explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6545,"Agilent Zorbax RRHD SB-C18 (100 x 2.1mm,1.8um)",Agilent 6545 QTOF,ESI,,,,
ST001216,AN002028,Normal phase POSITIVE ION MODE,MS,HILIC,QTOF,POSITIVE,Abundance (Log2),explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6520,"Phenomenex Kinetex HILIC 100A (50 x 2.1 mm,2.6um)",Agilent 6520 QTOF,ESI,,,,
ST001217,AN002029,Reversed phase POSITIVE ION MODE,MS,Reversed phase,QTOF,POSITIVE,Abundance (Log2),explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6545,"Agilent Zorbax RRHD SB-C18 (100 x 2.1mm,1.8um)",Agilent 6545 QTOF,ESI,,,,
ST001217,AN002030,Normal phase POSITIVE ION MODE,MS,HILIC,QTOF,POSITIVE,Abundance (Log2),explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6520,"Phenomenex Kinetex HILIC 100A (50 x 2.1 mm,2.6um)",Agilent 6520 QTOF,ESI,,,,
ST001218,AN002031,Normal phase UNSPECIFIED ION MODE,MS,Normal phase,QTOF,UNSPECIFIED,Peak Area,unclassified_or_other,no explicit targeted/untargeted label,Agilent 6550,"Cogent Diamond Hydride HPLCs,MicroSolv Technology Corporation",Agilent 6550 QTOF,ESI,,,,
ST001219,AN002032,NMR data,NMR,,,,umol/mg,unclassified_or_other,no explicit targeted/untargeted label,,,,,1D-1H,FT-NMR,,600
ST001220,AN002033,Normal phase POSITIVE ION MODE,MS,Reversed phase,QTOF,POSITIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity I-Class,"Waters Acquity CSH Phenyl-Hexyl (100 x 2.1mm,1.7um)",Waters Synapt-G2-Si,ESI,,,,
ST001221,AN002034,Normal phase POSITIVE ION MODE,MS,Reversed phase,QTOF,POSITIVE,Peak Area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity I-Class,"Waters Acquity CSH Phenyl-Hexyl (100 x 2.1mm,1.7um)",Waters Synapt-G2-Si,ESI,,,,
ST001222,AN002035,Normal phase POSITIVE ION MODE,MS,HILIC,Triple quadrupole,POSITIVE,peak area,unclassified_or_other,no explicit targeted/untargeted label,Waters Acquity I-Class,"SeQuant ZIC-pHILIC (150 x 2.1mm,5um)",Waters Xevo-TQ-S,ESI,,,,
ST001223,AN002036,Reversed phase POSITIVE ION MODE,MS,Reversed phase,QTOF,POSITIVE,Peak Area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6520,"Poroshell 120 EC-C8 (100 x 2.1mm,2.5um)",Agilent 6520 QTOF,ESI,,,,
ST001224,AN002037,None (Direct infusion) UNSPECIFIED ION MODE,MS,Unspecified,Triple quadrupole,UNSPECIFIED,ion counts,explicit_untargeted,Metabolomics Workbench untarg_studies index,Agilent 6410,none,Agilent 6410 QQQ,ESI,,,,
ST001225,AN002038,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Triple quadrupole,POSITIVE,pmol/mg,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1260,"Waters Acquity BEH C18 (50 x 2mm,1.7um)",Agilent 6490 QQQ,ESI,,,,
ST001226,AN002039,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Triple quadrupole,POSITIVE,uM,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1260,"Waters Acquity BEH C18 (50 x 2mm,1.7um)",Agilent 6490 QQQ,ESI,,,,
ST001227,AN002040,GC POSITIVE ION MODE,MS,GC,Single quadrupole,POSITIVE,nmol/mg (wet weight),unclassified_or_other,no explicit targeted/untargeted label,Agilent 7890N,"Agilent HP5-MS (15m x 0.25mm,0.25um)",Agilent 5975,EI,,,,
ST001228,AN002041,GC POSITIVE ION MODE,MS,GC,Single quadrupole,POSITIVE,nmol/mg (wet weight),unclassified_or_other,no explicit targeted/untargeted label,Agilent 7890N,"Agilent HP5-MS (15m x 0.25mm,0.25um)",Agilent 5975,EI,,,,
ST001229,AN002042,HPLC NEGATIVE ION MODE,MS,Reversed phase,Triple quadrupole,NEGATIVE,pmol/mg,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1290,Phenomenex Luna-C18,Agilent 6490 QQQ,ESI,,,,
ST001230,AN002043,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Triple quadrupole,POSITIVE,pmol/mg,unclassified_or_other,no explicit targeted/untargeted label,Agilent 1260,"Waters Acquity BEH C18 (50 x 2mm,1.7um)",Agilent 6490 QQQ,ESI,,,,
ST001212,AN002044,Reversed phase POSITIVE ION MODE/Metabolites set1,MS,Reversed phase,Orbitrap,POSITIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001212,AN002045,Reversed phase POSITIVE ION MODE/Metabolites set2,MS,Reversed phase,Orbitrap,POSITIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001212,AN002046,Reversed phase NEGATIVE ION MODE/Metabolites set3,MS,Reversed phase,Orbitrap,NEGATIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity BEH C18 (100 x 2mm,1.7um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001212,AN002047,HILIC NEGATIVE ION MODE,MS,HILIC,Orbitrap,NEGATIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity BEH Amide (150 x 2.1mm,1.7um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001231,AN002048,Reversed phase NEGATIVE ION MODE,MS,Reversed phase,Orbitrap,NEGATIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity BEH HSS T3 (100 x 2.1mm,1.8um)",Thermo Q Exactive Orbitrap,ESI,,,,
ST001231,AN002049,Reversed phase POSITIVE ION MODE,MS,Reversed phase,Orbitrap,POSITIVE,peak area,explicit_untargeted,Metabolomics Workbench untarg_studies index,Waters Acquity,"Waters Acquity BEH HSS T3 (100 x 2.1mm,1.8um)",Thermo Q Exactive Orbitrap,ESI,,,,
