metabolite,refmet_name,log2fc,p_value,fdr,sex,neg_log10_p
dg(38:6)>dg(18:2_20:4_0:0)_m+nh3_feature1,dg(18:2_20:4)_lp_a,-0.31253374,0.08996055,1.0,male,1.0459478980425985
sm(d33:1)_feature1,sm(d33:1),-0.23389246,0.09021714,1.0,female,1.0447109447167593
pc(o-34:2)_feature2,pc(o-34:2)_lp_b,0.25724003,0.0902662,1.0,male,1.044474839957096
pc(41:6)_feature3,pc(41:6)_lp_c,-0.2592766,0.09070924,1.0,male,1.042348471742309
pc(35:2)>pc(17:0_18:2)_m+h2co2_feature2,pc(17:0_18:2)_ln_b,0.28440914,0.091016114,1.0,male,1.0408817109564583
"8,9-epetre","8,9-epetre",-0.48144224,0.09179572,1.0,female,1.0371775674231034
tg(55:5)>tg(18:2_18:2_19:1)_and_tg(18:1_18:2_19:2)_m+nh3_feature3,tg(55:5)_lp_c,0.23166627,0.09229428,1.0,female,1.0348252138323086
pc(34:0)>pc(16:0/18:0)_m+h2co2_feature4,pc(16:0/18:0)_ln_c,-0.11938611,0.093007475,1.0,male,1.0314821458461263
pc(44:4)_feature2,pc(44:4)_lp_b,-0.20877902,0.09315744,1.0,female,1.030782454542142
cystathionine 1,cystathionine,-0.37173805,0.09357143,1.0,female,1.0288567333920238
pe(38:5)>pe(16:0_22:5)_and_pe(38:5)>pe(18:1_20:4)_feature3,pe(38:5)_ln_c,-0.25883704,0.093745925,1.0,male,1.028047601344003
tg(58:4)_m+nh3_feature3,tg(58:4)_lp_c,-0.4613823,0.094623365,1.0,male,1.0240016116145927
c40:6 pe,pe(40:6),-0.2051751,0.09487217,1.0,female,1.0228611657390423
pc(o-38:7)_feature2,pc(o-38:7)_lp_b,-0.31278008,0.095052205,1.0,female,1.022037804014475
NA,methionine,0.100196116,0.09513804,1.0,female,1.021645800004121
pc(o-32:1)_feature1,pc(o-32:1)_lp_a,-0.33088642,0.09516775,1.0,female,1.021510198358347
"11,12-epetre","11,12-epetre",1.0468063,0.09572393,1.0,male,1.0189794794873817
tg(52:0)>tg(16:0_16:0_20:0)_m+nh3_feature3,tg(16:0_16:0_20:0)_lp_c,0.31423253,0.0958965,1.0,female,1.018197243282153
adenosine,adenosine,-1.3964657,0.09590697,1.0,male,1.0181498295077303
sm(d34:1-oh)_feature1,sm(d34:1-oh),0.22782855,0.09609817,1.0,male,1.0172848825340473
pc(37:3)_feature1,pc(37:3)_lp_a,0.23843539,0.09610569,1.0,female,1.0172508988824642
tg(58:2)_m+nh3_feature2,tg(58:2)_lp_b,0.54737616,0.0964269,1.0,female,1.015801795019493
tg(56:8)>tg(18:2_18:2_20:4)_m+nh3_feature2,tg(18:2_18:2_20:4)_lp_b,-0.39152384,0.09649837,1.0,male,1.0154800224695153
pc(42:10)>pc(20:4_22:6)_m+h2co2_feature1,pc(20:4_22:6),-0.20622963,0.096553035,1.0,male,1.0152340702736453
lysine,lysine,0.13949883,0.096584134,1.0,male,1.0150942098389153
pc(o-36:5)_feature5,pc(o-36:5)_lp_e,-0.2631295,0.09664284,1.0,female,1.014830316117337
NA,alanine,0.16891411,0.09667308,1.0,male,1.0146944445839436
sm(d42:3)_feature1,sm(d42:3)_lp_a,-0.26821756,0.09710068,1.0,female,1.012777728699476
pc(38:5)_feature2,pc(38:5)_lp_b,0.65767395,0.09737041,1.0,female,1.011573001295302
pc(39:5)_feature7,pc(39:5)_lp_g,0.36871058,0.09833676,1.0,male,1.0072841049466292
pc(35:2),pc(35:2),0.28032959,0.0984461,1.0,male,1.00680148401574
bis(2-ethylhexyl)phthalate,bis(2-ethylhexyl)phthalic acid,-0.8797854,0.09919363,1.0,male,1.00351621640102
NA,glycine,0.1264548,0.09926892,1.0,female,1.0031867030181565
sm(d38:1)_m+h2co2_feature2,sm(d38:1)_ln_b,-0.21860923,0.09927645,1.0,female,1.0031537610517909
car(5:0-oh),car(5:0(oh)),0.21042581,0.09984372,1.0,female,1.0006792463177454
pge2,pge2,-1.3405731,0.10007679,1.0,female,0.9996666332471361
pc(35:0)_feature1,pc(35:0)_lp_a,0.26602882,0.100469485,1.0,male,0.9979658238998359
lpc(16:0/0:0)_feature2,lpc(16:0/0:0)_lp_b,0.21354188,0.100539334,1.0,male,0.9976639959836443
"gtinternalstandard_pe(33:1(d7))>pe(15:0/18:1(9z,d7))_[istd]","gtinternalstandard_pe(33:1(d7))>pe(15:0/18:1(9z,d7))_[istd]",0.20293191,0.101010546,1.0,female,0.9956332813608536
pc(38:2)_feature1,pc(38:2)_lp_a,0.20879593,0.10108357,1.0,female,0.9953194283674618
NA,glycine,0.1335435,0.103038594,1.0,male,0.9870000760538243
pc(o-40:4)>pc(o-20:0/20:4)_m+h2co2_feature2,pc(p-18:1/20:4)_ln_b,-0.17899957,0.10334687,1.0,female,0.9857026720343989
tg(58:8)>tg(18:2_18:2_22:4)_m+nh3_feature1,tg(58:8)_lp_a,-0.25399226,0.10391339,1.0,male,0.9833284868178864
dg(34:2)>dg(16:0_18:2_0:0)_m+nh3_feature3,dg(16:0_18:2)_lp_c,-0.4682904,0.10399981,1.0,male,0.9829674541245556
phenylacetylglycine,phenylacetylglycine,0.4965954,0.10403534,1.0,female,0.9828191091636963
oleamide_feature2,oleamide_lp_b,1.4003643,0.10432503,1.0,female,0.9816114817292889
3-(1-pyrazolyl)-alanine_feature1,3-(1-pyrazolyl)-alanine,0.54092836,0.10434867,1.0,male,0.9815130819635675
tg(55:6)_m+nh3_feature1,tg(55:6)_lp_a,0.39558458,0.10438706,1.0,female,0.9813533338902668
sm(d43:1)_feature2,sm(d43:1)_lp_b,1.1048486,0.104765505,1.0,male,0.9797816892434777
tg(53:3)>tg(17:0_18:1_18:2)_and_tg(17:1_18:1_18:1)_and_tg(16:1_18:1_19:1)_and_tg(16:0_18:1_19:2)_m+nh3_feature2,tg(53:3)_lp_b,0.38121662,0.10482022,1.0,female,0.9795549331214454
tg(58:4)_m+nh3_feature5,tg(58:4)_lp_e,0.5209639,0.10484245,1.0,female,0.9794628388409624
aspartic acid,aspartic acid,-0.45118877,0.10545169,1.0,male,0.9769464557367937
pc(36:4),pc(36:4),0.33692002,0.106771305,1.0,male,0.9715454491296778
lpc(18:2)_a_b,lpc(18:2),0.25483635,0.10684919,1.0,male,0.9712287657775319
tg(58:5)_m+nh3_feature4,tg(58:5)_lp_d,-0.35553694,0.10697347,1.0,male,0.9707239163449328
pi(38:3)>pi(18:0_20:3)_feature2,pi(18:0_20:3)_lp_b,0.2510349,0.106989935,1.0,male,0.970657076329383
pc(37:3)_feature2,pc(37:3)_lp_b,0.3298599,0.10767899,1.0,female,0.9678690266665682
tg(55:6)_m+nh3_feature2,tg(55:6)_lp_b,0.40287992,0.10795515,1.0,female,0.966756634819032
lpc(20:2/0:0)_feature2,lpc(20:2/0:0)_lp_ab,0.19288622,0.107957065,1.0,female,0.966748931003545
pc(34:2)>pc(16:0_18:2)_m+h2co2_feature1,pc(16:0_18:2)_ln_a,0.21355057,0.1082709,1.0,male,0.9654882531403909
sm(d40:1-oh)_feature2,sm(d40:1-oh)_lp_b,-0.27580363,0.10909597,1.0,female,0.9621912919330875
pc(30:1)_feature1,pc(30:1)_lp_a,0.36123124,0.10943522,1.0,female,0.9608428846751274
tg(60:3)_m+nh3_feature1,tg(60:3)_lp_a,0.501304,0.10952317,1.0,female,0.960493994625857
pc(34:4)_feature5,pc(34:4)_lp_e,-0.43350273,0.10962783,1.0,female,0.9600791823372382
oleamide,oleamide,0.6139548,0.10991474,1.0,male,0.9589440630686766
c18:1 lpc plasmalogen a,lpc(p-18:0)/lpc(o-18:1)_hp_a,-0.17546058,0.11001765,1.0,male,0.9585376359080892
isocitrate,isocitric acid,-0.35573125,0.11008008,1.0,female,0.9582912634876889
pc(39:6)_feature5,pc(39:6)_lp_e,0.55347085,0.110799685,1.0,female,0.9554614742913099
pc(40:5)>pc(18:0_22:5)_m+h2co2_feature4,pc(18:0_22:5)_ln_d,-0.23399757,0.11106757,1.0,female,0.9544127297722479
lpc(20:3)_a_b,lpc(20:3),-0.24467076,0.11136309,1.0,male,0.9532587271648076
sm(d41:2)_m+h2co2_feature1,sm(d41:2)_ln_a,0.18537515,0.112216525,1.0,male,0.9499431841862205
pc(36:5)_feature2,pc(36:5)_lp_b,-0.40946376,0.113083765,1.0,female,0.9465997405830812
pc(36:3),pc(36:3),0.23024042,0.11344655,1.0,female,0.9452087068195462
beta-guanidinopropionate,3-guanidinopropanoic acid,-0.22174355,0.113516964,1.0,female,0.944939232558323
pc(o-38:4)_feature3,pc(o-38:4)_lp_c,0.27540532,0.11378588,1.0,male,0.9439116273834064
sm(d44:2)_m+h2co2_feature1,sm(d44:2)_ln_a,-0.19719,0.11381911,1.0,male,0.943784814647568
pc(o-40:4)_feature3,pc(o-40:4)_lp_c,-0.33021942,0.114386596,1.0,male,0.9416248638672572
car(16:2),car(16:2),-0.46118036,0.11451064,1.0,female,0.9411541580524712
pi(36:2)_feature2,pi(36:2)_lp_b,0.22942807,0.11487658,1.0,male,0.9397685023256362
pc(40:5)_feature4,pc(40:5)_lp_d,-0.3011972,0.11487722,1.0,female,0.9397660827924801
pc(32:1)_feature1,pc(32:1)_lp_a,0.30414614,0.11511848,1.0,female,0.9388549533658446
cholesterol sulfate_feature1,cholesterol sulfate,-0.32860756,0.11528836,1.0,female,0.9382145386979924
pc(42:5)_feature6,pc(42:5)_lp_f,-0.23367606,0.11577115,1.0,female,0.9363996526709896
tg(54:7)>tg(16:0_16:1_22:6)_and_tg(16:0_18:2_20:5)_m+nh3_feature4,tg(54:7)_lp_d,-0.6435352,0.115870334,1.0,male,0.9360277411654881
pc(32:0)_feature1,pc(32:0)_lp_a,-0.27109206,0.11605121,1.0,male,0.9353503270427591
tg(54:2)>tg(16:0_18:1_20:1)_and_tg(18:0_18:1_18:1)_m+nh3_feature3,tg(54:2)_lp_c,0.37458867,0.11614296,1.0,female,0.9350071098053196
car(15:0)_feature1,car(15:0)_lp_a,0.95833665,0.116147354,1.0,female,0.9349906795898634
c18:1 lpc,lpc(18:1),0.17671818,0.11617712,1.0,female,0.9348793937714002
tg(52:1)>tg(16:0_18:0_18:1)_and_tg(16:0_16:0_20:1)_m+nh3_feature3,tg(52:1)_lp_c,0.34602195,0.11633577,1.0,female,0.9342867313151664
tg(55:1)>tg(18:0_18:1_19:0)_and_tg(16:0_18:1_21:0)_m+nh3_feature1,tg(55:1)_lp_a,0.4714213,0.11692749,1.0,female,0.9320833729119057
pc(o-34:2)_feature1,pc(o-34:2)_lp_a,0.2483279,0.11694744,1.0,male,0.932009280533257
tg(51:0)>tg(16:0_17:0_18:0)_and_tg(16:0_16:0_19:0)_and_tg(15:0_17:0_19:0)_m+nh3_feature1,tg(51:0)_lp_a,0.3573078,0.11760827,1.0,female,0.9295621383867133
NA,cytidine,-0.22017127,0.117920555,1.0,male,0.9284104854477931
pc(36:4)_feature8,pc(36:4)_lp_h,-0.9826305,0.11805651,1.0,male,0.9279100595880164
pc(36:4)>pc(18:2/18:2)_m+h2co2_feature2,pc(18:2/18:2)_ln_b,0.49237776,0.118344665,1.0,male,0.9268513153714399
tg(53:4)>tg(17:0_18:2_18:2)_and_tg(17:1_18:1_18:2)_m+nh3_feature3,tg(53:4)_lp_c,0.44057104,0.11901082,1.0,female,0.9244135524505169
fa(15:0),pentadecylic acid,0.3865298,0.119424164,1.0,female,0.9229077902075364
pc(38:5)>pc(16:0_22:5)_m+h2co2_feature2,pc(16:0_22:5)_ln_b,0.7031338,0.1200734,1.0,female,0.9205531917037882
tg(49:0)>tg(16:0_16:0_17:0)_and_tg(15:0_16:0_18:0)_and_tg(14:0_16:0_19:0)_m+nh3_feature1,tg(49:0),0.38916075,0.120706715,1.0,female,0.918268569121152
pc(o-40:4)_feature3,pc(o-40:4)_lp_c,-0.20833404,0.12117519,1.0,female,0.916586290640591
cer(d42:1)>cer(d18:0/24:1)_feature1,cer(d18:0/24:1)_lp_a,-0.46326068,0.1212908,1.0,female,0.9161721394529727
tg(58:9)_m+nh3_feature3,tg(58:9)_lp_c,-0.21131752,0.12146894,1.0,male,0.9155347583708148
cer(d42:2)_feature1,cer(d42:2)_ln_a,-0.24318846,0.121841304,1.0,female,0.9142054616338171
lpc(16:0/0:0)_feature2,lpc(16:0/0:0)_lp_b,0.21059722,0.12200956,1.0,female,0.9136061390581661
NA,car(20:4),-0.5885722,0.12256788,1.0,male,0.9116233256283645
NA,hydroxyproline,-0.13418517,0.12280466,1.0,male,0.9107851529514721
nmma,targinine,0.14758898,0.123190634,1.0,male,0.9094223096776035
proline-betaine,proline betaine,-0.18770899,0.12341732,1.0,male,0.9086238884989174
pc(38:5)_feature1,pc(38:5)_lp_a,-0.2721392,0.12418393,1.0,male,0.9059346003258647
NA,pc(36:2),0.15038443,0.124387674,1.0,female,0.9052226532384827
deoxyguanosine,deoxyguanosine,-0.9645183,0.12440664,1.0,female,0.9051564392721962
lpc(24:0/0:0)_feature2,lpc(24:0/0:0)_lp_b,0.18156429,0.12450437,1.0,male,0.904815404925042
fa(11:0-cooh),undecanedioic acid,-0.29413396,0.12591854,1.0,male,0.8999103205124847
valine-d8,valine-d8 [istd],0.11377872,0.12629303,1.0,female,0.8986206171094907
dg(36:3)>dg(18:1_18:2_0:0)_feature3,dg(18:1_18:2)_lp_c,-0.3800813,0.12687285,1.0,male,0.8966313042780625
pc(o-40:6)_feature4,pc(o-40:6)_lp_d,-0.24560665,0.12742816,1.0,male,0.8947345878467964
anthranilate,2-aminobenzoic acid,0.21096244,0.12837288,1.0,female,0.8915267154445508
pc(37:4)_feature3,pc(37:4)_lp_c,-0.20551656,0.12900743,1.0,male,0.8893852764055802
taurocholate,taurocholic acid,-1.063796,0.12911719,1.0,male,0.8890159341459638
valine-d8,valine-d8 [istd],-0.14849702,0.12917612,1.0,male,0.8888177642881179
deoxyguanosine,deoxyguanosine,-1.2566661,0.12932953,1.0,male,0.8883023007050963
tg(56:5)>tg(16:0_18:1_22:4)_m+nh3_feature4,tg(16:0_18:1_22:4)_lp_d,-0.53332496,0.130259,1.0,male,0.8851922602334006
nmma,targinine,0.14250705,0.13058172,1.0,female,0.8841176152415167
tg(56:7)>tg(16:0_18:1_22:6)_m+nh3_feature6,tg(16:0_18:1_22:6)_lp_f,0.26679105,0.13147335,1.0,female,0.8811622709072925
1-methyladenosine,1-methyladenosine,-0.27637783,0.1320417,1.0,male,0.8792888928856029
taurochenodeoxycholate,taurochenodeoxycholic acid,-0.89588755,0.13243574,1.0,female,0.877994797447666
tg(54:4)>tg(18:1_18:1_18:2)_and_tg(18:0_18:2_18:2)_m+nh3_feature3,tg(54:4)_lp_c,1.0313509,0.13339344,1.0,female,0.8748655275548016
"gtinternalstandard_tg(48:1(d7))>tg(15:0/18:1(9z,d7)/15:0)_feature1","gtinternalstandard_tg(48:1(d7))>tg(15:0/18:1(9z,d7)/15:0)_[istd]",0.22540493,0.13423002,1.0,female,0.8721503451033624
udp-n-acetylglucosamine,udp-n-acetylglucosamine,-0.80723965,0.13537118,1.0,male,0.8684737854235254
c40:7 pe plasmalogen,pe(p-40:6)/pe(o-40:7),-0.1961506,0.13538834,1.0,male,0.8684187366236203
pc(38:6)_feature3,pc(38:6)_lp_c,-0.5155679,0.13540398,1.0,male,0.8683685700184188
"gtinternalstandard_pg(33:1(d7))>pg(15:0/18:1(9z,d7))_[istd]","gtinternalstandard_pg(33:1(d7))>pg(15:0/18:1(9z,d7))_[istd]",0.16046485,0.13567276,1.0,female,0.8675073400279791
pe(40:6)>pe(18:0_22:6)_feature2,pe(18:0_22:6)_ln_b,-0.22202243,0.13573812,1.0,female,0.86729817016798
pseudouridine,pseudouridine,-0.1664985,0.13580085,1.0,male,0.8670975117259565
tg(53:5)>tg(17:1_18:2_18:2)_m+nh3_feature2,tg(17:1_18:2_18:2)_lp_b,-0.34709275,0.13660401,1.0,male,0.8645365517869088
hydroxylysine,5-hydroxylysine,0.2643856,0.13803224,1.0,male,0.8600194641872003
cer(d42:0-oh)_m+h2co2_feature1,cer(d42:0(oh)),0.1481542,0.1386755,1.0,male,0.8580002595803727
hexcer(d41:1)_m+h2co2_feature1,hexcer(d41:1),0.26423883,0.13873439,1.0,female,0.8578158710394777
NA,citrulline,-0.087565005,0.13889293,1.0,female,0.8573198603828514
dg(34:1)>dg(16:0_18:1_0:0)_feature2,dg(16:0_18:1)_lp_b,0.23001099,0.13914242,1.0,female,0.8565404475537134
NA,octadecadienoic acid,0.20147324,0.13914672,1.0,female,0.8565270265034177
"gtinternalstandard_pc(33:1(d7))>pc(15:0/18:1(9z,d7))_[istd]_m+h2co2","gtinternalstandard_pc(33:1(d7))>pc(15:0/18:1(9z,d7))_[istd]_m+h2co2",0.17828217,0.13942763,1.0,female,0.8556511547351654
oleamide,oleamide,0.58762944,0.13993558,1.0,female,0.8540718478165151
pc(o-40:6)_feature4,pc(o-40:6)_lp_d,-0.22341438,0.1403235,1.0,female,0.8528695915113164
cer(d42:2)>cer(d18:2/24:0)_feature4,cer(d18:2/24:0)_lp_d,0.22759688,0.14049809,1.0,female,0.8523295797311343
sm(d43:1)_feature2,sm(d43:1)_lp_b,-0.6557356,0.14052746,1.0,female,0.8522388034370932
sm(d39:1)_feature2,sm(d39:1)_lp_b,0.24603145,0.14073873,1.0,male,0.8515863722831905
pi(34:2)>pi(16:0_18:2)_feature1,pi(16:0_18:2),0.17748559,0.14088464,1.0,male,0.8511363534262719
tg(54:3)>tg(18:1/18:1/18:1)_m+nh3_feature7,tg(18:1_18:1_18:1)_lp_g,-0.6524379,0.14143287,1.0,male,0.8494496456971395
pc(36:5)_feature1,pc(36:5)_lp_a,-0.4536108,0.14150359,1.0,female,0.8492325417834212
13-oxo-ode,13-oxo-ode,1.4383851,0.1418873,1.0,female,0.8480564754851218
c40:7 pe plasmalogen,pe(p-40:6)/pe(o-40:7),-0.12979774,0.14189917,1.0,female,0.8480201448207092
pc(39:5)_feature1,pc(39:5)_lp_a,0.23612949,0.14225274,1.0,male,0.8469393596926799
NA,pc(34:4),0.20792751,0.14247294,1.0,female,0.8462676137231474
pc(37:4)>pc(17:0_20:4)_m+h2co2_feature2,pc(17:0_20:4)_ln_b,-0.17923132,0.14248069,1.0,male,0.8462439903551238
NA,car(5:0),0.19371495,0.14306492,1.0,male,0.8444668436554251
"5,6-dihetre","5,6-dihetre",0.25317985,0.14337756,1.0,male,0.8435188147126595
lithocholate,lithocholic acid,0.41783935,0.14401568,1.0,male,0.8415902206356477
pc(o-38:5)>pc(o-18:1/20:4)_m+h2co2_feature1,pc(o-38:6)_ln_a,-0.14910284,0.14423132,1.0,female,0.8409404218204041
betaine,betaine,-0.1431054,0.14452118,1.0,male,0.8400685011214765
tg(56:5)>tg(16:0_18:1_22:4)_m+nh3_feature3,tg(16:0_18:1_22:4)_lp_c,-0.41268653,0.14498264,1.0,male,0.8386839964102878
dg(36:1)>dg(18:0_18:1_0:0)_m+nh3_feature2,dg(18:0_18:1)_lp_b,0.36607862,0.14505199,1.0,female,0.8384763086393897
cer(d41:1)_m+h2co2_feature1,cer(d41:1),0.1687868,0.14559567,1.0,male,0.8368515407034021
c34:3 pc plasmalogen,pc(p-34:2)/pc(o-34:3),0.21476577,0.14609277,1.0,female,0.8353712763778148
25-hydroxy-cholesterol,25-hydroxycholesterol,-0.3104729,0.14612408,1.0,female,0.835278210147853
pc(o-32:0)_feature1,pc(o-32:0),-0.24966052,0.14633554,1.0,female,0.8346501854848462
n-carbamoyl-beta-alanine,ureidopropionic acid,-0.29552314,0.1464252,1.0,male,0.8343841741032323
tg(58:2)_m+nh3_feature1,tg(58:2)_lp_a,0.49162894,0.14644301,1.0,female,0.8343313531792252
pc(o-40:7)_feature1,pc(o-40:7)_lp_a,-0.30673146,0.14663799,1.0,female,0.83375350097745
pc(35:0)_feature3,pc(35:0)_lp_c,-0.23703036,0.14726703,1.0,female,0.8318944717030301
pc(o-38:4)>pc(o-18:0/20:4)_m+h2co2_feature6,pc(o-18:0/20:4)_ln_f,-0.15421467,0.14756459,1.0,female,0.8310178444951863
sm(d38:3)_feature1,sm(d38:3),-0.27344775,0.1478383,1.0,male,0.8302130400692073
pc(42:6)_feature2,pc(42:6)_lp_b,0.3517377,0.14803581,1.0,female,0.8296332156576555
guanidinoacetate,guanidoacetic acid,0.21227577,0.14840871,1.0,male,0.828540609879545
pc(o-38:4)_feature6,pc(o-38:4)_lp_f,-0.22662719,0.14846548,1.0,female,0.828374513271159
thyroxine,thyroxine,-0.21673496,0.148655,1.0,female,0.8278204787503959
2-hydroxyglutarate,2-hydroxyglutaric acid,-0.2914458,0.14869255,1.0,female,0.8277107905563472
pc(o-42:6)_feature3,pc(o-42:6)_lp_c,-0.2861006,0.14950936,1.0,female,0.8253316175796594
"gtinternalstandard_sm(d36:2(d9))>sm(d18:1/18:1(9z,d9))_feature1","gtinternalstandard_sm(d36:2(d9))>sm(d18:1/18:1(9z,d9))_[istd]",0.22599228,0.1505166,1.0,female,0.8224156004632265
pc(40:5)_feature4,pc(40:5)_lp_d,-0.34361297,0.15237474,1.0,male,0.8170870224181006
pc(o-34:1)_feature2,pc(o-34:1)_lp_b,-0.22547553,0.1525809,1.0,female,0.8164998277426467
tg(55:3)_m+nh3_feature3,tg(55:3)_lp_c,-0.4077695,0.15325817,1.0,male,0.8145763645006351
NA,car(18:0),-0.19192986,0.15373886,1.0,female,0.8132163436228395
car(5:0-oh),car(5:0(oh)),-0.22855085,0.15375799,1.0,male,0.813162306949296
pc(34:1),pc(34:1),0.16925554,0.15377752,1.0,female,0.8131071473272871
NA,car(18:0),-0.19593075,0.15400809,1.0,male,0.8124564652019984
sm(d40:1)_feature1,sm(d40:1)_lp_a,0.29330677,0.15446459,1.0,male,0.8111710640072032
pc(o-38:4)_feature4,pc(o-38:4)_lp_d,-0.22324608,0.15451787,1.0,male,0.811021287154335
ce(18:3)_m+nh3_feature1,ce(18:3),0.24771962,0.15537563,1.0,female,0.808617097417273
pc(36:1)>pc(16:0_20:1)_and_pc(18:0_18:1)_m+h2co2_feature1,pc(36:1)_ln_a,0.14546858,0.15578565,1.0,male,0.8074725493132536
lpe(22:6)_feature2,lpe(22:6)_ln_b,-0.16465722,0.15623124,1.0,female,0.8062321202470696
lpe(16:0)_feature1and2,lpe(16:0)_ln_ab,0.18222001,0.15634403,1.0,male,0.8059186976481552
pc(o-36:5)_feature5,pc(o-36:5)_lp_e,-0.2297073,0.15640427,1.0,male,0.8057513944211615
sm(d42:3)_feature1,sm(d42:3)_lp_a,0.24419953,0.15728411,1.0,male,0.8033151507899209
pc(41:3)_feature1,pc(41:3),-0.2110598,0.157471,1.0,female,0.8027994145703481
fa(15:0),pentadecylic acid,-0.36059102,0.15781856,1.0,male,0.801841923613328
benzylbutylphthalate,benzyl butyl phthalate,0.27193165,0.15811022,1.0,male,0.8010400570370926
"8,9-dihetre","8,9-dihetre",0.5222006,0.1581235,1.0,male,0.8010035812891991
sm(d37:1)_feature1,sm(d37:1),-0.32312965,0.1582326,1.0,female,0.8007040357463502
"gtinternalstandard_pe(18:1(d7))>pe(18:1(9z,d7)/0:0)_and_pe(0:0/18:1(9z,d7))_[istd]","gtinternalstandard_pe(18:1(d7))>pe(18:1(9z,d7)/0:0)_and_pe(0:0/18:1(9z,d7))_[istd]",0.15888384,0.15900332,1.0,female,0.7985938074869273
car(18:1)_feature1,car(18:1)_lp_a,-0.40859234,0.15918745,1.0,female,0.7980911741020623
dg(40:7)>dg(18:1_22:6_0:0)_m+nh3_feature3,dg(18:1_22:6)_lp_c,0.22293587,0.1592763,1.0,female,0.7978488415557785
pi(38:5)>pi(18:1_20:4)_feature2,pi(18:1_20:4)_lp_b,0.42692164,0.1596831,1.0,male,0.7967410448203218
NA,pc(36:2),0.1399443,0.15989329,1.0,male,0.7961697612513817
sm(d36:3),sm(d36:3),-0.37916848,0.15990734,1.0,female,0.796131600992131
tg(54:2)>tg(16:0_18:1_20:1)_and_tg(18:0_18:1_18:1)_m+nh3_feature2,tg(54:2)_lp_b,0.35707185,0.1605244,1.0,female,0.7944589446924278
pc(39:5)_feature6,pc(39:5)_lp_f,1.1198828,0.1619497,1.0,male,0.7906198521518916
c20:4 lpc b,lpc(20:4)_hp_b,-0.19004042,0.16268027,1.0,male,0.7886651154694859
tg(58:3)>tg(18:1_20:1_20:1)_and_tg(18:1_18:1_22:1)_m+nh3_feature2,tg(58:3)_lp_b,0.46640083,0.16296229,1.0,female,0.7879128811153066
pc(36:5)>pc(16:1_20:4)_m+h2co2_feature2,pc(16:1_20:4)_ln_b,0.23997098,0.16372077,1.0,male,0.7858962214787307
c22:6 lpe,lpe(22:6),-0.17472954,0.16373445,1.0,male,0.7858599346941383
NA,asparagine,0.08637235,0.16394232,1.0,female,0.7853089233663392
dg(36:3)>dg(18:1_18:2_0:0)_feature3,dg(18:1_18:2)_lp_c,0.21727633,0.16426182,1.0,female,0.7844633695546186
NA,pantothenic acid,0.12900716,0.1643225,1.0,female,0.7843029663469337
fa(24:0),lignoceric acid,0.4839963,0.16455705,1.0,female,0.7836835068031552
2-hydroxybutyrate,2-hydroxybutyric acid,-0.28023583,0.16458565,1.0,male,0.7836080330210317
l-alpha-glutamyl-l-lysine,glu-lys,-0.2521096,0.16482204,1.0,male,0.782984714906022
pe(36:4)>(16:0_20:4)_feature3,pe(16:0_20:4)_ln_c,-0.1987919,0.1653528,1.0,male,0.7815884465667071
pe(o-38:7)>pe(o-16:1/22:6)_feature2,pe(o-16:1/22:6)_lp_b,-0.24911527,0.1654885,1.0,female,0.7812321804989628
car(22:2)_feature1,car(22:2),-0.38519093,0.16574346,1.0,female,0.780563599224533
pc(o-36:2)_feature2,pc(o-36:2)_lp_b,0.3087761,0.16603324,1.0,male,0.7798049571199615
pc(o-32:1)_feature1,pc(o-32:1)_lp_a,-0.28813004,0.16664033,1.0,male,0.7782198830204814
c18:0 lpe b,lpe(18:0)_hp_b,0.18020043,0.16712852,1.0,female,0.7769494326814772
pc(33:1)_feature1,pc(33:1)_lp_a,0.1560578,0.16796233,1.0,female,0.7747881093905867
cer(d43:1)>cer(d18:1/25:0)_feature2,cer(d18:1/25:0)_lp_b,1.3269237,0.16883695,1.0,male,0.7725325018749737
pc(35:2)>pc(17:0_18:2)_m+h2co2_feature1,pc(17:0_18:2)_ln_a,0.27803248,0.16938162,1.0,male,0.7711337177694949
tg(50:4)>tg(16:1_16:1_18:2)_and_tg(16:1_16:1_18:2)_m+nh3_feature2,tg(50:4)_lp_b,-1.2320273,0.16960706,1.0,male,0.7705560739234867
NA,pi(16:0_20:4),0.09442659,0.16965279,1.0,male,0.7704389938341232
tg(53:5)>tg(17:1_18:2_18:2)_m+nh3_feature2,tg(17:1_18:2_18:2)_lp_b,0.24337696,0.16976818,1.0,female,0.7701437071746253
"8,9-dihetre","8,9-dihetre",0.5596191,0.17138425,1.0,female,0.7660290917032551
aminobutyrate,aminobutyric acid,0.20545377,0.17156714,1.0,female,0.7655658883010188
phenylalanine-d8,phenylalanine-d8 [istd],-0.11718803,0.17204608,1.0,male,0.7643552181535629
indole-3-methyl acetate,indole-3-methyl acetate,0.235788,0.17252134,1.0,male,0.7631571772804003
n-methylaspartate,n-methyl-d-aspartic acid,0.37226734,0.17323488,1.0,male,0.7613646604340353
pc(36:5)_feature2,pc(36:5)_lp_b,0.26025108,0.1738256,1.0,male,0.7598862628700647
hypotaurine,hypotaurine,-0.27544913,0.17480057,1.0,female,0.7574571555262664
pc(38:5)_feature3,pc(38:5)_lp_c,-0.16241975,0.17489304,1.0,male,0.7572274732528178
