metabolite,refmet_name,log2fc,p_value,fdr,sex,neg_log10_p
putrescine,putrescine,-0.6203039,0.0004190182,0.27988297,male,3.377767113100745
pe(40:6)>pe(18:0_22:6)_feature2,pe(18:0_22:6)_ln_b,-0.7645941,0.00046247675,0.2964629,male,3.3349100955747017
5-methylcytosine,5-methylcytosine,0.5864189,0.00047098138,0.29840016,male,3.3269962621345854
NA,car(18:2),-0.5417065,0.00048413718,0.30313268,female,3.315031563818927
pc(30:0)_feature2,pc(30:0)_lp_b,-0.7364235,0.00061243493,0.3507469,male,3.212940047442033
c40:6 pe,pe(40:6),-0.6324086,0.00062862213,0.35630423,male,3.2016103341556787
NA,pc(32:2),0.36749917,0.0006447774,0.36122724,male,3.1905901933296748
c16:1 sm,sm(d18:1/16:1),-0.3964862,0.0006548194,0.36465642,female,3.1838784624486403
pc(38:6)_feature2,pc(38:6)_lp_b,-0.4780275,0.0006564085,0.36470142,male,3.182825803793236
tg(56:4)>tg(18:1_18:2_20:1)_and_tg(18:1_18:1_20:2)_m+nh3_feature3,tg(56:4)_lp_c,-0.6260243,0.0006583451,0.3652738,male,3.181546392499863
3-methoxytyrosine,3-methoxytyrosine,0.5571795,0.00072924746,0.38770965,female,3.137125074869795
ce(16:1)_m+nh3_feature1,ce(16:1),0.78518075,0.0007661773,0.39892313,male,3.115670719268602
tg(52:4)>tg(16:0_16:0_20:4)_and_tg(16:1_18:1_18:2)_and_tg(16:0_18:1_18:2)_m+nh3_feature6,tg(52:4)_lp_f,-0.6914444,0.0007982674,0.40945953,male,3.0978516062784935
pc(o-36:4)>pc(o-16:0/20:4)  m+ h2co2_feature4,pc(o-16:0/20:4)_ln_d,-0.41086537,0.0008135654,0.41396934,male,3.089607529736985
lpc(19:1/0:0)_and_lpc(0:0/19:1)_feature1and2,lpc(19:1)_lp_ab,0.40241227,0.0008333221,0.41908354,male,3.079187100376699
NA,car(16:3),-0.42454067,0.0010016564,0.46931413,male,2.999281229741501
pc(32:1)>pc(14:0_18:1)_and_pc(16:0_16:1)_m+h2co2_feature1,pc(32:1)_ln_a,0.78808683,0.0010566397,0.48364562,male,2.976073076057721
lpc(18:3/0:0)_and_lpc(0:0/18:3)_feature1and2,lpc(18:3)_lp_ab,0.41317835,0.0010584294,0.4839746,female,2.975338105252496
pc(32:1),pc(32:1),0.7798791,0.0010857286,0.49024534,male,2.9642787219413305
pc(34:1)>pc(16:0_18:1)_m+h2co2_feature2,pc(16:0_18:1)_ln_b,0.3757383,0.0011643429,0.50840783,male,2.9339191007452206
NA,lpc(16:1),0.4474494,0.0011644291,0.50840783,male,2.9338869497365714
n-acetylgalactosamine,n-acetyl-d-galactosamine,-0.41449535,0.0011665337,0.5089591,male,2.9331027103527556
pc(36:1)_feature1,pc(36:1)_lp_a,0.38612008,0.0012118061,0.52106553,male,2.916566865678677
c38:7 pc plasmalogen,pc(p-38:6)/pc(o-38:7),-0.35136774,0.0013050631,0.5445141,male,2.88436848961359
NA,gamma-aminobutyric acid,-0.28289837,0.0013475455,0.5552716,female,2.8704565618998013
lpc(16:1)_feature2,lpc(16:1)_ln_b,0.7435255,0.0014076344,0.56904334,male,2.851510128347484
pc(32:2)>pc(14:0_18:2)_m+h2co2_feature1,pc(14:0_18:2)_ln_a,0.6471831,0.001456707,0.579235,male,2.8366277928282324
pc(37:4)>pc(17:0_20:4)_m+h2co2_feature3,pc(17:0_20:4)_ln_c,-0.42102388,0.0015379377,0.5966163,male,2.8130612569235534
ea(17:0)_feature1,ea(17:0),-3.2398765,0.0015887902,0.6098168,male,2.7989334476622947
car(16:1),car(16:1),-0.7225188,0.0016030252,0.6133035,male,2.7950596503626857
pc(36:4)_feature8,pc(36:4)_lp_h,-2.1524806,0.0016211198,0.61826974,female,2.7901848898051282
pe(o-38:7)>pe(o-16:1/22:6)_and_pe(o-20:7/18:0)_feature2,pe(o-38:7)_ln_b,-0.5030169,0.0016715879,0.6286975,female,2.776870781212457
pc(37:2)_feature1,pc(37:2)_lp_a,0.39351416,0.0017286685,0.6409276,male,2.7622882816965912
pc(37:2)_feature2,pc(37:2)_lp_b,0.39983577,0.0017771221,0.6494922,male,2.750282732276559
hexcer(d42:0-oh)_m+h2co2_feature2,hexcer(d42:0-oh)_ln_b,0.32768318,0.0017937598,0.65320325,female,2.746235713197586
pc(38:5)>pc(16:0_22:5)_m+h2co2_feature2,pc(16:0_22:5)_ln_b,1.2858248,0.0018684717,0.67051375,male,2.7285134756184184
sie(22:6)_m+nh3_feature1,sitosterol ester(22:6),-0.44912913,0.0018801077,0.67309105,female,2.7258172719193046
pc(o-36:5)>pc(o-16:1/20:4)_m+h2co2_feature5,pc(o-36:5)_ln_e,-0.38208982,0.0019647432,0.6874424,male,2.7066942056504586
