study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute
ST003182,METTL3-mediated chromatin contacts promote stress granule phase separation through metabolic reprogramming during senescence,Homo sapiens,LC-MS,15,2024-04-30,2024-05-03,University of Texas MD Anderson Cancer Center
ST003194,Multi-Omics Analysis Revealed Significant Metabolic Changes in Brain Cancer Cells Treated with Paclitaxel and/or Topotecan,Homo sapiens,LC-MS,16,2024-05-08,2024-11-01,Sharjah Institute for Medical Research
ST003205,Metabolic profile evolution in relapsed/refractory B-NHL patients treated with CD19.CAR-T cell therapy and implications in clinical outcome,Homo sapiens,NMR,114,2024-05-15,2024-06-07,UNIVERSITY OF SALENTO
ST003266,Metabolomics analysis of human spermatozoa reveals impaired metabolic pathways in asthenozoospermia,Homo sapiens,LC-MS,61,2024-06-18,2024-07-25,University of Aveiro
ST003274,Metabolomics analysis within healthy donors and end-stage heart failure with a focus on ischaemic cardiomyopathy with diabetes,Homo sapiens,LC-MS,77,2024-06-19,2025-05-06,University of Sydney
ST003275,Lipidomics analysis within healthy donors and end-stage heart failure with a focus on ischaemic cardiomyopathy with diabetes,Homo sapiens,LC-MS,75,2024-06-19,2025-05-06,University of Sydney
ST003276,Metabolomics analysis of human spermatozoa reveals impaired metabolic pathways in asthenozoospermia (NMR data),Homo sapiens,NMR,57,2024-06-20,2024-07-25,University of Aveiro
ST003286,"Interaction between NSCLC cells, CD8+ T cells and immune checkpoint inhibitors potentiates coagulation and promotes metabolic remodeling- new cues on CAT-VTE",Homo sapiens,NMR,81,2024-07-01,2024-07-03,ITQB NOVA
ST003287,Metabolic profiling and synergistic therapeutic strategies unveil the cytotoxic potential of selenium-chrysin (SeChry) in NSCLC cells,Homo sapiens,NMR,22,2024-07-02,2024-07-22,ITQB NOVA
ST003303,Metabolic Alterations in Aneurysmal Subarachnoid Hemorrhage,Homo sapiens,LC-MS,41,2024-07-08,2024-07-29,University of Akron
ST003346,Fast Targeted Metabolomics for Analyzing Metabolic Diversity of Bacterial Indole Derivatives - fecal samples,Homo sapiens,LC-MS,180,2024-07-25,2025-10-05,University of Connecticut
ST003348,An integrated LC-MS analysis of the biometric characteristics of different time cohorts of race walkers - untargeted,Homo sapiens,LC-MS,76,2024-07-26,2024-08-09,First Affiliated Hospital of Dalian Medical University
ST003349,An integrated LC-MS analysis of the biometric characteristics of different time cohorts of race walkers - targeted,Homo sapiens,LC-MS,76,2024-07-26,2024-08-09,First Affiliated Hospital of Dalian Medical University
ST003368,Non-Invasive Diagnosis of Moyamoya Disease Using Serum Metabolic Fingerprints and Machine Learning,Homo sapiens,MS(Dir. Inf.),288,2024-08-02,2024-09-16,Shanghai Jiao Tong University affiliated Renji Hospital
ST003390,In-depth profiling of biosignatures for Type 2 diabetes mellitus cohort utilizing an integrated targeted LC-MS platform,Homo sapiens,LC-MS,300,2024-08-09,2024-10-14,First Affiliated Hospital of Dalian Medical University
ST003415,Role of environmental toxicants in obesity-related cardiovascular disease- Part 3 GC-MS analysis of adipose tissue,Homo sapiens,GC-MS,528,2024-08-20,2025-08-22,Boston University
ST003416,The “metabolic fingerprint” of cytotoxic gold drugs in cancer cells disclosed by NMR,Homo sapiens,NMR,259,2024-08-20,2025-02-17,University of Florence
ST003439,Metabolomics of human serum to support understanding of early metabolic shift in presymptomatic sepsis patients. (Part1 human metabolites),Homo sapiens,LC-MS,573,2024-09-03,2025-05-26,Leibniz Institute for Natural Product Research and Infection Biology Hans Knöll Institute (Leibniz-HKI)
ST003455,Metabolic alterations in pulmonary artery smooth muscle cells of idiopathic pulmonary arterial hypertension (IPAH) patients.,Homo sapiens,LC-MS,10,2024-09-04,2024-09-19,Peking University
ST003456,Lipidomics of human serum to support understanding of early metabolic shift in presymptomatic sepsis patients. (Part2 human lipids),Homo sapiens,LC-MS,581,2024-09-05,2025-05-26,Leibniz Institute for Natural Product Research and Infection Biology Hans Knöll Institute
ST003475,Intracellular metabolome and Intracellular metabolic pathway prediction,Homo sapiens,GC-MS,3,2024-09-16,2024-10-03,Thapar Institute of Engineering and Technology
ST003499,Metabolic analysis of ADSL deficiency patients' EBV-LCLs.,Homo sapiens,LC-MS,30,2024-09-26,2024-10-16,Catholic University of the Sacred Heart
ST003579,Landscape of Metabolic Fingerprinting for Diagnosis of Ovarian Endometriosis.,Homo sapiens,LC-MS,68,2024-11-16,2026-01-02,Women’s Hospital of Nanjing Medical University
ST003581,Rapid and non-invasive early detection of lung cancer by integration of machine learning and salivary metabolic fingerprints using MS LOC platform: A large-scale multicenter study,Homo sapiens,MS(Dir. Inf.),1043,2024-11-19,2026-02-01,"Affiliated Hangzhou First People’s Hospital, Westlake University"
ST003597,Metabolic regulation of RNA methylation by the m6A-reader IGF2BP3,Homo sapiens,LC-MS,12,2024-11-27,2025-09-28,"University of California, Los Angeles"
ST003617,Metabolic adaptations in pancreatic ductal adenocarcinoma-patient derived xenograft models across serial passages,Homo sapiens,NMR,116,2024-12-12,2025-09-07,Xiamen University
ST003630,Individual glycemic responses to carbohydrates vary and reflect underlying metabolic physiology (Lipidomics),Homo sapiens,MS(Dir. Inf.),113,2024-12-17,2025-01-12,Stanford University
ST003632,Dysregulated Lipid Metabolism in African American Women Who Experienced Cardiometabolic Complications of Pregnancy,Homo sapiens,LC-MS,32,2024-12-19,2025-11-26,Emory University
ST003636,Individual glycemic responses to carbohydrates vary and reflect underlying metabolic physiology (metabolomics),Homo sapiens,LC-MS,113,2024-12-24,2025-01-14,Stanford University
ST003656,Profiling the human beta cell's molecular metabolic response to glucose,Homo sapiens,MS(Dir. Inf.),10,2025-01-12,2026-01-02,Dana Farber Cancer Institute
ST003662,Metabolome trajectory of exercise physiology- a comprehensive study of healthy male and female athletes,Homo sapiens,LC-MS,352,2025-01-16,2025-05-14,University of Vienna
ST003671,Discovery of Metabolic Biomarkers for Gestational Diabetes Mellitus: An In-Depth Metabolomics Investigation Utilizing Mass Spectrometry  ,Homo sapiens,LC-MS,52,2025-01-17,2025-07-07,Sharjah Institute for Medical Research
ST003686,Characterization of the transpulmonary metabolome at the intersection of pulmonary vascular disease and exercise,Homo sapiens,LC-MS,468,2025-01-27,2025-02-17,University of Colorado Anschutz Medical Campus
ST003697,Cross-sectional salivary metabolomics of the FAME cohort (children 11-17 years),Homo sapiens,LC-MS,610,2025-07-07,2025-07-07,Ghent University
ST003709,Cross-sectional salivary metabolomics of the PANIC cohort (children 11-17 years),Homo sapiens,LC-MS,354,2025-07-07,2025-07-07,Ghent University
