study_id,study_title,species,analysis_type,number_of_samples,submission_date,release_date,institute
ST000016,NPM-ALK metabolic regulation,Homo sapiens,LC-MS,110,2013-09-24,2013-10-24,University of Michigan
ST000046,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (plasma)",Homo sapiens,LC-MS,45,2014-03-24,2014-04-25,Mayo Clinic
ST000047,"Identification of altered metabolic pathways in Alzheimer's disease, mild cognitive impairment and cognitively normals using Metabolomics (CSF)",Homo sapiens,LC-MS,45,2014-03-24,2014-04-24,Mayo Clinic
ST000054,Metabolic Microenvironments in Normal Breast and Breast Cancer (MS analysis),Homo sapiens,GC-MS,192,2014-04-30,2018-08-27,University of North Carolina
ST000061,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: GC-TOF MS analyis of subcutaneous and visceral adipose tissue samples,Homo sapiens,GC-MS,130,2014-06-11,2014-07-11,"University of California, Davis"
ST000065,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: GC-TOF MS analyis of serum samples,Homo sapiens,GC-MS,65,2014-06-11,2014-07-12,"University of California, Davis"
ST000081,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: UHPLC-QTOF MS analyis of subcutaneous and visceral adipose tissue samples,Homo sapiens,LC-MS,124,2014-06-11,2014-07-26,"University of California, Davis"
ST000082,Metabolic Profiling of Visceral and Subcutaneous Adipose Tissue from Colorectal Cancer Patients: UHPLC-QTOF MS analyis of serum samples,Homo sapiens,LC-MS,66,2014-06-11,2014-07-25,"University of California, Davis"
ST000091,Quantitative Metabolomics by 1H-NMR and LC-MS/MS Confirms Altered Metabolic Pathways in Diabetes,Homo sapiens,LC-MS,26,2014-07-15,2014-07-26,Mayo Clinic
ST000122,Perinatal DDT causes dysfunctional lipid metabolism underlying metabolic syndrome,Homo sapiens,LC-MS,42,2014-09-30,2014-09-30,"University of California, Davis"
ST000150,Association of Metabolic Profile and Microbiome in Chronic Pressure Ulcer Wounds,Homo sapiens,NMR,8,2015-03-10,2015-04-20,Montana State University
ST000166,Cardiac Resynchronization Therapy Induces Adaptive Metabolic Transitions in the Metabolomic Profile of Heart Failure,Homo sapiens,GC-MS,53,2015-05-14,2015-06-28,Mayo Clinic
ST000223,Metabolic Aberrations in Barth Syndrome,Homo sapiens,NMR,40,2015-06-29,2016-07-08,University of North Carolina
ST000248,Metabolic heterogeneity in Glioblastoma,Homo sapiens,LC-MS,6,2015-03-24,2016-09-23,University of Florida
ST000250,The Role of Obesity and Adipocytes in Immune Activation on Antiretroviral Therapy,Homo sapiens,LC-MS,100,2015-01-07,2016-12-22,University of Florida
ST000284,Colorectal Cancer Detection Using Targeted Serum Metabolic Profiling,Homo sapiens,LC-MS,224,2015-12-15,2015-12-16,University of Washington
ST000295,Metabolic analysis of Human and Mouse Lung Fiboblasts,Mus musculus;Homo sapiens,LC-MS,35,2014-10-16,2016-06-18,University of Michigan
ST000315,Metabolomics and Childhood Obesity: A Pilot and Feasibility Study With Multiple Phenotypic Anchors,Homo sapiens,NMR,233,2015-12-31,2016-12-31,University of North Carolina
ST000342,Renal metabolic pathways indicating ischemic or inflammatory changes,Homo sapiens,LC-MS,33,2016-02-04,2016-03-03,"University of California, Davis"
ST000367,Distinctly perturbed metabolic networks underlie differential tumor tissue damages induced by immune modulator b-glucan in a two-case ex vivo non-small cell lung cancer study,Homo sapiens,LC-MS,12,2016-03-10,2016-03-21,University of Kentucky
ST000385,Investigation of metabolomic blood biomarkers for detection of adenocarcinoma lung cancer (training set),Homo sapiens,GC-MS,192,2016-03-31,2016-04-30,"University of California, Davis"
ST000387,Changes in the metabalome and lipidome in response to exercise training,Homo sapiens,LC-MS,276,2016-04-26,2016-04-29,"University of California, Davis"
ST000398,Metabolic profiling of maternal urine can aid clinical management of Gestational Diabetes Mellitus (GDM),Homo sapiens,NMR,90,2016-04-20,2016-06-18,University of Aveiro
ST000403,Metabolomics-based elucidation of active metabolic pathways in erythrocytes and HSC-derived reticulocytes,Homo sapiens,LC-MS,18,2016-05-11,2016-05-20,Monash Institute of Pharmaceutical Sciences
ST000412,Metabolic profiling during ex vivo machine perfusion of the human liver (part I),Homo sapiens,GC-MS,96,2016-06-30,2016-09-23,"University of California, Davis"
ST000413,Metabolic profiling during ex vivo machine perfusion of the human liver (part III),Homo sapiens,LC-MS,24,2016-07-01,2016-09-23,"University of California, Davis"
ST000421,Type 1 Diabetes poor glycemic control versus control samples,Homo sapiens,LC-MS,222,2016-07-15,2016-09-23,Mayo Clinic
ST000422,Type 1 Diabetes good glycemic control and controls samples,Homo sapiens,LC-MS,180,2016-07-01,2016-09-23,Mayo Clinic
ST000438,Characterizing commonalities and differences between the breast and prostate cancer metabotypes in African-American cohorts (part I),Homo sapiens,NMR,48,2016-08-02,2016-09-23,University of North Carolina
ST000439,Characterizing commonalities and differences between the breast and prostate cancer metabotypes in African-American cohorts,Homo sapiens,NMR,66,2016-08-02,2016-09-23,University of North Carolina
ST000450,Metabolic features of chronic fatigue syndrome,Homo sapiens,LC-MS,84,2016-08-11,2016-12-22,"University of California, San Diego"
ST000467,Metabolomics of Saliva Samples Obtained from Subjects with Diabetes,Homo sapiens,LC-MS,50,2016-09-02,2017-10-03,University of North Carolina
ST000496,Distinct signatures of dental plaque metabolic byproducts dictated by periodontal inflammatory status,Homo sapiens,GC-MS,100,2016-10-23,2017-11-20,Osaka University
ST000539,Metabolomics-based elucidation of active metabolic pathways in erythrocytes and HSC-derived reticulocytes (part II),Homo sapiens,LC-MS,18,2017-01-23,2017-07-10,Monash University
ST000548,Replication study: The common feature of leukemia-associated IDH1 and IDH2 mutations is a neomorphic enzyme activity converting alpha-ketoglutarate to 2-hydroxyglutarate,Homo sapiens,GC-MS,86,2017-01-06,2017-07-10,"University of California, Davis"
ST000568,Metabolomic study on a schizophrenia and type 2 diabetes susceptibility gene,Homo sapiens,GC-MS/LC-MS,147,2017-01-15,2017-07-10,Shanghai Jiao Tong University Affiliated Sixth People’s Hospital
ST000573,Exploratory research on first and second trimester urinary metabolic profiles and fetal growth restriction,Homo sapiens,NMR,322,2017-03-17,2018-04-10,Mayo Clinic
ST000605,Whole blood reveals more metabolic detail of the human metabolome than serum as measured by 1H-NMR spectroscopy: Implications for sepsis metabolomics,Homo sapiens,NMR,40,2016-12-08,2017-01-06,University of Michigan
ST000659,Changes in metabolites and lipid mediators associated with supervised exercise training for peripheral,Homo sapiens,LC-MS,158,2017-06-28,2017-10-03,"University of California, Davis"
ST000663,Metabolic Syndrome Plasma Lipidomics,Homo sapiens,LC-MS,40,2017-06-05,2017-12-06,University of Michigan
ST000708,Metabolic effects of weight reduction of very low energy diet vs dietary counseling,Homo sapiens,LC-MS,22,2017-06-19,2017-12-06,University of Michigan
ST000713,Metabolic profiling of cyst fluid from patients with Intraductal Pancreatic Mucinous Neoplasm,Homo sapiens,LC-MS,12,2017-06-19,2017-12-06,University of Michigan
ST000762,Plasma Nucleotide/adenosine concentrations in patiens with scleroderma depending on exercise,Homo sapiens,LC-MS,51,2017-06-19,2017-12-06,University of Michigan
ST000763,Untargeted metabolomics and lipidomics of scleroderma PAH discovery cohort,Homo sapiens,LC-MS,218,2017-06-19,2017-12-06,University of Michigan
ST000774,Metabolic effects of novel aldehyde dehydrogenase inhibitors (ALDH) inhibitors,Homo sapiens,LC-MS,36,2017-06-19,2017-12-06,University of Michigan
ST000777,Metabolic Adaptations to Chronic and Acute Exercise in Overweight Adults (ATX-Study) preliminary data,Homo sapiens,LC-MS,10,2017-06-05,2017-12-06,University of Michigan
ST000787,Identifying metabolic adaptations characteristic of multiple myeloma cells via mass spectrometry-based metabolite profiling from Peripheral Plasma,Homo sapiens,LC-MS,125,2017-07-11,2019-07-17,Mayo Clinic
ST000788,Identifying metabolic adaptations characteristic of multiple myeloma cells via mass spectrometry-based metabolite profiling from Bone Marrow Plasma,Homo sapiens,LC-MS,125,2017-07-11,2019-07-17,Mayo Clinic
ST000789,Identifying metabolic adaptations characteristic of multiple myeloma cells via mass spectrometry-based metabolite profiling from (CD138+ Plasma Cells),Homo sapiens,LC-MS,110,2017-07-11,2019-07-17,Mayo Clinic
ST000790,Identifying metabolic adaptations characteristic of multiple myeloma cells via targeted sphingolipids concentrations from bone marrow and peripheral plasma,Homo sapiens,LC-MS,50,2017-07-11,2019-07-17,Mayo Clinic
ST000791,Identifying metabolic adaptations characteristic of multiple myeloma cells via amino acids concentrations from bone marrow plasma,Homo sapiens,LC-MS,50,2017-07-11,2019-07-17,Mayo Clinic
ST000814,Hormones & Cognition/Aging/Placebo,Homo sapiens,LC-MS,28,2017-07-13,2017-10-11,University of Michigan
ST000823,Metabolic profiling of cyst fluid from patients with Intraductal Pancreatic Mucinous Neoplasm (part II),Homo sapiens,LC-MS,10,2017-07-14,2018-02-07,University of Michigan
ST000828,Metabolic analysis of Parp1 ko/wt Saline & Bleo Mouse Lung Fiboblasts and Human IPF & Normal Lung Fiboblasts 3,Homo sapiens,GC-MS/LC-MS,16,2017-08-02,2017-10-11,University of Michigan
ST000842,Muscle and plasma before and after exercise,Homo sapiens,LC-MS,62,2017-08-02,2018-02-07,University of Michigan
ST000855,Urine metabolic profiles of pregnant women in relation to environmental exposures,Homo sapiens,LC-MS,390,2017-07-21,2024-12-31,University of Michigan
ST000888,Lyme Disease Biosignature Training (95 MFs),Homo sapiens,LC-MS,758,2017-09-05,2017-11-15,Colorado State University
ST000909,"Metabolomics Linking Air Pollution, Obesity and Type 2 Diabetes",Homo sapiens,LC-MS,247,2017-12-05,2020-09-12,Emory University
ST000918,Plasma metabolic fingerprint for breast cancer (MS) - part I,Homo sapiens,GC-MS/LC-MS,58,2017-12-29,2018-02-07,Universidad de los Andes
ST000926,Probing the metabolic phenotype of breast cancer cells by multiple tracer stable isotope resolved metabolomics (part I),Homo sapiens,NMR,3,2018-01-22,2018-06-05,University of Kentucky
ST000927,Probing the metabolic phenotype of breast cancer cells by multiple tracer stable isotope resolved metabolomics (part II),Homo sapiens,NMR,6,2018-01-24,2018-06-05,University of Kentucky
ST000928,Probing the metabolic phenotype of breast cancer cells by multiple tracer stable isotope resolved metabolomics (part III),Homo sapiens,NMR,8,2018-01-24,2018-06-05,University of Kentucky
ST000978,Metabolomics biomarkers and the risk of overall mortality and ESRD in CKD: results from the Progredir Cohort.,Homo sapiens,GC-MS,450,2018-05-22,2018-07-17,University of Sao Paulo
ST001000,Gut microbiome structure and metabolic activity in inflammatory bowel disease,Homo sapiens,LC-MS,220,2018-07-09,2019-04-17,Broad Institute of MIT and Harvard
ST001038,Global Metabolomics of the Placenta Reveals Distinct Metabolic Profiles between Maternal and Fetal Placental Tissues Following Delivery in Non-Labored Women,Homo sapiens,NMR,226,2018-08-20,2018-10-10,University of Florida
ST001068,The proteomic and metabolomic characterization of exercise-induced sweat (part -I),Homo sapiens,LC-MS,50,2018-10-08,2018-12-11,UES Inc;Air Force Research Laboratory
ST001070,The global proteomic characterization of exercise-induced sweat - (part II),Homo sapiens,LC-MS,7,2018-10-08,2018-12-11,UES Inc;Air Force Research Laboratory
ST001072,The in-gel proteomic characterization of exercise-induced sweat - (part III),Homo sapiens,LC-MS,29,2018-10-08,2018-12-11,UES Inc;Air Force Research Laboratory
ST001097,Metabolomics of Metabolic Risk in Patients Taking Atypical Antipsychotics (part I),Homo sapiens,NMR,114,2018-08-30,2019-01-22,University of Michigan
ST001098,Metabolomics of Metabolic Risk in Patients Taking Atypical Antipsychotics (part II),Homo sapiens,GC-MS,114,2018-11-15,2019-01-22,University of Michigan
ST001114,Metabolomics profile of umbilical cord blood is associated with maternal pre-pregnant obesity in a perspective multi-ethnic cohort displaying health disparities,Homo sapiens,LC-MS,57,2018-03-08,2019-01-22,University of Hawaii
ST001118,Metabolomics profiles of patients with Wilson disease reveal a distinct metabolic signature,Homo sapiens,GC-MS,110,2018-12-21,2019-09-23,"University of California, Davis"
ST001148,Effect of cell harvesting technique and storage on metabolic profiles in human skin fibroblasts,Homo sapiens,GC-MS/LC-MS,36,2019-02-27,2019-09-23,Mayo Clinic
ST001168,Alterations in fecal metabolic patterns are associated with atrial fibrillation,Homo sapiens,LC-MS,59,2019-04-10,2019-04-17,Beijing Chaoyang Hospital
ST001169,Alterations in serum metabolic patterns are associated with atrial fibrillation,Homo sapiens,LC-MS,65,2019-04-11,2019-04-17,Beijing Chaoyang Hospital
ST001185,Genetic and metabolic characterization of bioengineered human fatty liver tissue with modified SIRT1 expression,Homo sapiens,LC-MS,13,2019-05-20,2020-01-06,University of Pittsburgh
ST001193,MARBLES (Markers of Autism Risk in Babies: Learning Early Sign) Enriched Cohort Study:Internal Metabolomic Biomarker Exposome and Development Disorders (IMBEDD) (part 2),Homo sapiens,LC-MS,181,2019-06-11,2021-08-31,Emory University
ST001209,MARBLES (Markers of Autism Risk in Babies: Learning Early Sign) Enriched Cohort Study:Internal Metabolomic Biomarker Exposome and Development Disorders (IMBEDD),Homo sapiens,LC-MS,326,2019-07-03,2021-08-31,Emory University
ST001223,Host Metabolic Response in Early Lyme Disease,Homo sapiens,LC-MS,518,2019-07-02,2019-09-23,Colorado State University
ST001235,Metabolic responses to PD1 immune-checkpoint blockade and association with therapeutic benefits - Part I,Homo sapiens,LC-MS,212,2019-08-08,2019-08-27,Broad Institute of MIT and Harvard
ST001236,Metabolic responses to PD1 immune-checkpoint blockade and association with therapeutic benefits - Part II,Homo sapiens,LC-MS,244,2019-08-12,2019-08-27,Broad Institute of MIT and Harvard
ST001237,Metabolic responses to PD1 immune-checkpoint blockade and association with therapeutic benefits - Part III,Homo sapiens,LC-MS,1221,2019-08-12,2019-08-27,Broad Institute of MIT and Harvard
ST001240,Global Metabolic Analysis Trisomy 21 - Cohort 2,Homo sapiens,LC-MS,194,2019-08-09,2019-08-21,University of Colorado Denver
ST001241,"Global Metabolic Analysis Trisomy 21 - Cohort 3, Plasma",Homo sapiens,LC-MS,258,2019-08-13,2019-08-21,University of Colorado Denver
ST001242,"Global Metabolic Analysis Trisomy 21 - Cohort 3, CSF",Homo sapiens,LC-MS,200,2019-08-13,2019-08-21,University of Colorado Denver
ST001243,Global Metabolic Analysis Trisomy 21 - Cohort 1,Homo sapiens,LC-MS,196,2019-08-13,2019-08-21,University of Colorado Denver
ST001251,"The effects of a training program encompassing cold exposure, breathing exercises, and meditation on plasma metabomics during experimental human endotoxemia",Homo sapiens,LC-MS,138,2019-09-16,2019-10-04,Radboud University Medical Centre
ST001325,Obesity and Poor Diet as Susceptibility Factors for Secondhand Smoke in Childhood Asthma,Homo sapiens,LC-MS,256,2020-02-26,2022-08-02,University of Michigan
ST001335,"Air Pollution, Placenta Function, and Birth Outcomes in Los Angeles in the Placental Assessment in Response to ENvironmenTal pollution study (PARENTs) cohort",Homo sapiens,LC-MS,530,2020-02-20,2022-09-27,Emory University
ST001369,Grass pollen sublingual immunotherapy treatment induces transcriptomic and metabolic changes due to AIT treatment,Homo sapiens,GC-MS/LC-MS,44,2020-03-27,2020-09-29,Institute of Applied Molecular Medicine;The Centre of Metabolomics and Bioanalysis
ST001385,Microbial and metabolic variations mediate the influence of childhood and adolescent EDC and trace element exposure on breast density.,Homo sapiens,LC-MS,438,2020-05-22,2022-03-01,Icahn School of Medicine at Mount Sinai
ST001391,Metabolic Response in Patients with Post-Treatment Lyme Disease Symptoms/Syndrome,Homo sapiens,LC-MS,135,2020-05-28,2020-09-21,Colorado State University
ST001400,Identification of distinct metabolic perturbations and associated immunomodulatory events during intra-erythrocytic development stage of pediatric Plasmodium falciparum malaria,Homo sapiens,LC-MS,199,2020-06-15,2021-08-10,New York University Abu Dhabi
ST001406,Environmental chemical burden in metabolic tissues and systemic biological pathways in adolescent bariatric surgery patients: A pilot untargeted metabolomic approach (part-II),Homo sapiens,GC-MS,33,2020-06-19,2021-06-19,Icahn School of Medicine at Mount Sinai
ST001407,Environmental chemical burden in metabolic tissues and systemic biological pathways in adolescent bariatric surgery patients: A pilot untargeted metabolomic approach,Homo sapiens,LC-MS,21,2020-06-22,2021-06-19,Icahn School of Medicine at Mount Sinai
ST001408,Metabolomic profiling of baseline plasmas from a longitudinal prospective cohort of 491 active surveillance (AS) participants,Homo sapiens,LC-MS,1439,2020-05-19,2020-07-02,University of Texas MD Anderson Cancer Center
ST001411,Plasma metabolites of lipid metabolism associate with diabetic polyneuropathy in a cohort with screen-tested type 2 diabetes: ADDITION-Denmark,Homo sapiens,LC-MS,106,2020-06-22,2021-06-15,University of Michigan
ST001430,Metabolic dynamics and prediction og gestational ange and time to delivery in pregant women,Homo sapiens,LC-MS,781,2019-08-30,2020-07-24,Stanford University
ST001491,Global Urine Metabolic Profiling to Predict Gestational Age in Term and Preterm Pregnancies,Homo sapiens,LC-MS,172,2020-09-27,2022-05-16,Stanford University
ST001515,A Metabolomic Signature of Glucagon Action in Healthy Individuals with Overweight/Obesity Humans,Homo sapiens,LC-MS,187,2020-10-26,2020-12-01,Translational Research Institute- AdventHealth Orlando
ST001516,Identification of distinct metabolic perturbations and associated immunomodulatory events during intra-erythrocytic development stage of pediatric Plasmodium falciparum malaria (part-II),Homo sapiens,LC-MS,199,2020-08-25,2021-03-01,New York University Abu Dhabi
ST001517,Identification of distinct metabolic perturbations and associated immunomodulatory events during intra-erythrocytic development stage of pediatric Plasmodium falciparum malaria (part-III),Homo sapiens,LC-MS,106,2020-08-25,2021-04-27,New York University Abu Dhabi
ST001618,Metabolomics Analysis: Opioid Addiction Project (Golestan Cohort Study) - MS (part-I),Homo sapiens,LC-MS,336,2020-12-01,2022-05-02,University of North Carolina at Chapel Hill
ST001619,Metabolomics Analysis: Opioid Addiction Project (Golestan Cohort Study) - NMR (part-II),Homo sapiens,NMR,334,2020-12-01,2022-05-02,University of North Carolina at Chapel Hill
ST001639,Plasma Metabolomic signatures of COPD in a SPIROMICS cohort,Homo sapiens,LC-MS,649,2020-12-30,2021-05-30,National Jewish Health
ST001642,Lipidomics in high-risk subjects for the identification of integrated biomarker signatures of type 1 diabetes,Homo sapiens,LC-MS,9,2021-01-06,2021-01-25,University of Miami
ST001655,Characterization of anaphylaxis reveals different metabolic changes depending on severity and triggers - NMR (part-I),Homo sapiens,NMR,55,2021-01-18,2022-01-18,Centre of Metabolomics and Bioanalysis
ST001656,Characterization of anaphylaxis reveals different metabolic changes depending on severity and triggers - MS (part-II),Homo sapiens,LC-MS,55,2021-01-15,2022-01-17,Centre of Metabolomics and Bioanalysis
ST001710,Metabolic signatures of NAFLD - Lipidomics data (part 1 of 3),Homo sapiens,LC-MS,627,2021-02-10,2022-01-03,Örebro University
ST001711,Metabolic signatures of NAFLD - Polar metabolomics data (part II),Homo sapiens,GC-MS,627,2021-02-17,2022-01-03,Örebro University
ST001718,Commensal intestinal microbiota regulates host luminal proteolytic activity and intestinal barrier integrity through β-glucuronidase activity,Homo sapiens,LC-MS,16,2021-03-11,2022-03-09,Mayo Clinic
ST001719,Metabolomics Analysis of Philadelphia Cohort - Update (part-I),Homo sapiens,LC-MS,28,2021-01-07,2021-05-25,Wistar Institute
ST001720,Metabolomics Analysis of ACTG Cohort -Update (part-II),Homo sapiens,LC-MS,81,2021-01-07,2021-05-25,Wistar Institute
ST001750,Gut microbiome influence on metabolic 1 disease in HIV and high-risk populations,Homo sapiens,LC-MS,54,2021-04-24,2021-05-04,University of Colorado Anschutz Medical Campus
ST001776,Metabolic Response of HEK 293 Cells Exposed to Methylmercury,Homo sapiens,LC-MS,36,2021-04-27,2022-01-02,University of Macau
ST001780,Comparative analysis of metabolomic profiles in cerebrospinal fluid before and after endurance exercise,Homo sapiens,LC-MS,38,2021-05-03,2021-11-25,"University of California, San Diego School of Medicine"
ST001789,Acute metabolomic changes of plasma in response to endurance exercise,Homo sapiens,LC-MS,57,2021-04-21,2022-01-06,"University of California, San Diego"
ST001814,Searching for prognostic biomarkers of Parkinson´s Disease development in the Spanish EPIC cohort through a multiplatform metabolomics approach,Homo sapiens,GC-MS/LC-MS,79,2021-06-01,2021-06-17,Universidad CEU San Pablo
ST001815,Metabolic Markers of Methotrexate Response in Juvenile Idiopathic Arthritis,Homo sapiens,GC-MS/LC-MS,60,2021-05-18,2021-06-17,University of Kansas
ST001827,The pregnancy metabolome from a multi-ethnic pregnancy cohort,Homo sapiens,LC-MS,410,2021-06-10,2021-06-28,Icahn School of Medicine at Mount Sinai
ST001828,Nested case–control study of environmental exposure within the ongoing Puerto Rico Testsite for Exploring Contamination Threats (PROTECT) pregnancy cohort.,Homo sapiens,LC-MS,100,2021-06-11,2021-12-15,University of Michigan
ST001831,Nested case–control study of environmental exposure within the ongoing Puerto Rico Testsite for Exploring Contamination Threats (PROTECT) pregnancy cohort (part II),Homo sapiens,LC-MS,100,2021-06-15,2021-12-15,University of Michigan
ST001857,Peak Learning of Mass Spectrometry Imaging Data Using Artificial Neural Networks (Prostate tissue),Homo sapiens;Mus musculus,MALDI-MS,5,2021-06-20,2021-07-18,Brigham and Women's Hospital
ST001860,Spontaneous hydrolysis and spurious metabolic properties of α-ketoglutarate esters,Homo sapiens,LC-MS,9,2021-05-26,2021-08-04,University of British Columbia
ST001863,Analysis of Bxa induced metabolic changes in epithelial cells,Homo sapiens,LC-MS,12,2021-07-01,2021-07-24,Broad Institute of MIT and Harvard
ST001905,Metabolomic profiling of saliva in diabetes patients,Homo sapiens,GC-MS,61,2021-08-15,2022-12-09,Osaka University
ST001906,Metabolomic profiling of plasma in diabetes patients,Homo sapiens,GC-MS,61,2021-08-15,2022-12-09,Osaka University
ST001907,Training-induced bioenergetic improvement in human skeletal muscle is associated with non-stoichiometric changes in the mitochondrial proteome without reorganisation of respiratory chain content,Homo sapiens,LC-MS,40,2021-08-15,2021-10-18,Baker Heart and Diabetes Institute
ST001913,Stool metabolomics in the New Hampshire Birth Cohort Study,Homo sapiens,NMR,572,2021-08-09,2023-01-31,University of North Carolina at Chapel Hill
ST001914,Fecal Metabolomics Reveals Products of Dysregulated Proteolysis and Altered Microbial Metabolism in Obesity-Related Osteoarthritis,Homo sapiens,LC-MS,101,2021-09-08,2022-09-14,University of North Carolina at Chapel Hill
ST001920,Metabolic and lipidomic characterization of radioresistant MDA-MB-231 human breast cancer cells to investigate potential therapeutic targets,Homo sapiens,GC-MS/MS(Dir. inf.),36,2021-09-22,2021-10-02,ChungAng University
ST001932,Perfluorinated compounds and high fat diet in relation to CVD-relevant metabolomic pathways in the SEARCH for Diabetes in Youth study,Homo sapiens,LC-MS,2158,2021-10-06,2022-10-07,Emory University
ST001943,Urinary signature of chronic kidney disease in patients with severe obesity by CE-MS,Homo sapiens,CE-MS,86,2021-08-19,2021-11-04,University Rey Juan Carlos
ST001948,Metabolites Associated with Gestational Diabetes in Plasma,Homo sapiens,LC-MS,68,2021-10-13,2021-11-04,California Polytechnic State University
ST001949,Plasma Metabolome Normalization in Rheumatoid Arthritis following initiation of Methotrexate and the Identification of Metabolic Biomarkers of Efficacy,Homo sapiens,GC-MS,60,2021-10-20,2022-11-07,University of Kansas
ST002049,Perfluoroalkyl Compounds and Child Metabolic Health - Healthy Start Cohort,Homo sapiens,LC-MS,643,2022-01-06,2022-12-22,University of Colorado Anschutz Medical Campus
ST002050,Perfluoroalkyl Compounds and Child Metabolic Health (Project Viva),Homo sapiens,LC-MS,234,2022-01-06,2022-12-23,Harvard Pilgrim Health Care Institute
ST002081,"Dynamic Lipidome Alterations Associated with Human Health, Disease, and Aging",Homo sapiens,MS(Dir. Inf.),1643,2023-05-05,2023-05-05,Stanford University
ST002082,Predicting dying: a study of the metabolic changes and the dying process in patients with lung cancer,Homo sapiens,LC-MS,112,2022-02-10,2022-02-24,University of Liverpool Institute of Life Course & Medical Sciences
ST002087,"Profiling metabolites and lipoproteins in COMETA, an Italian cohort of COVID-19 patients",Homo sapiens,NMR,368,2022-02-23,2022-03-16,University of Florence
ST002088,Plasma Metabolomic signatures of COPD in a SPIROMICS cohort: A metabolomic severity score for airflow obstructions and emphysema,Homo sapiens,LC-MS,648,2022-02-23,2022-03-04,National Jewish Health
ST002094,Commensal intestinal microbiota regulates host luminal proteolytic activity and intestinal barrier integrity through β-glucuronidase activity (Part 1),Homo sapiens,LC-MS,7,2022-03-04,2022-03-09,Mayo Clinic
ST002113,Metabolomic analyses redefine the biological classification of pancreatic cancer: From clinical stage to metabolic subtype,Homo sapiens,NMR,106,2022-03-19,2022-03-22,Xiamen University
ST002115,LC-MS analysis of metabolic changes induced by GPX4 inhibitor treatment in cultured HT1080 cells,Homo sapiens,LC-MS,12,2022-04-20,2022-04-14,University of Texas MD Anderson Cancer Center
ST002122,Functional metabolic molecules were identified as novel therapeutic targets to facilitate gemcitabine treatment against pancreatic cancer (Cells metabolomics),Homo sapiens,LC-MS,15,2022-04-06,2022-04-20,"Shanghai Center for Systems Biomedicine, Shanghai Jiaotong University"
ST002183,Individualized exercise intervention for people with multiple myeloma improves quality of life in a randomized controlled trial,Homo sapiens,LC-MS,180,2022-06-03,2024-02-05,QIMR Berghofer Medical Research Institute
ST002190,Mass Spectrometry Imaging of Lipids In A Gut Epithelial Cell Model,Homo sapiens,MS(Dir. Inf.),10,2022-06-08,2022-07-06,"Manchester Institute of Biotechnology, University of Manchester"
ST002194,Metabolic profiling at COVID-19 onset shows disease severity and sex-specific dysregulation,Homo sapiens,GC-MS/LC-MS,144,2022-06-14,2022-06-17,CEMBIO
ST002196,Metabolic signature of idiopathic inflammatory myopathy,Homo sapiens,LC-MS,90,2022-06-17,2022-07-14,Seoul National University
ST002213,Metabolic changes in Alzheimer patient-derived induced neurons versus non-demented controls,Homo sapiens,LC-MS,36,2022-07-13,2022-07-25,University of Colorado Denver
ST002214,The effects of PKM2 modulation and hypoxia on the metabolic landscape of Alzheimer patient-derived induced neurons,Homo sapiens,LC-MS,16,2022-07-13,2022-07-25,University of Colorado Denver
ST002224,Intracellular metabolic profile of renal cells cultured in Plasmax,Homo sapiens,LC-MS,48,2022-07-19,2022-08-03,CECAD Research Center
ST002234,A metabolic map of the DNA damage response identifies PRDX1 in nuclear ROS scavenging and aspartate synthesis,Homo sapiens,LC-MS,30,2022-07-25,2023-04-03,CRG
ST002250,Ramadan diurnal intermittent fasting is associated with significant plasma metabolomics changes in overweight and obese subjects: A prospective cohort study,Homo sapiens,LC-MS,100,2022-08-10,2022-12-22,University of Sharjah
ST002255,Functional metabolic molecules were identified as novel therapeutic targets to facilitate gemcitabine treatment against pancreatic cancer (Cells metabolomics with ATP),Homo sapiens,LC-MS,10,2022-08-11,2022-08-22,"Shanghai Center for Systems Biomedicine, Shanghai Jiaotong University"
ST002256,Metabolomics and metagenomics of pediatric obesity (Serum),Homo sapiens,GC-MS,57,2022-08-17,2023-01-04,Seoul National University College of Medicine and Hospital
ST002261,Investigating metabolic pathways of pediatric obesity (urine),Homo sapiens,GC-MS,58,2022-08-18,2023-01-04,Seoul National University College of Medicine and Hospital
ST002262,Metabolomics and metagenomics of pediatric obesity (Feces),Homo sapiens,GC-MS,58,2022-08-18,2023-01-04,Seoul National University College of Medicine and Hospital
ST002273,Multi-Omics analysis revealed a significant alteration of critical metabolic pathways due to sorafenib-resistance in Hep3B cell lines,Homo sapiens,LC-MS,12,2022-09-01,2022-09-16,Sharjah Institute for Medical Research
ST002291,"Integrated metabolic and inflammatory signatures associated with severity, fatality, and recovery of COVID-19",Homo sapiens,LC-MS,232,2022-09-28,2022-10-19,Federal University of Goiás
ST002299,Characterizing the intrauterine environment via untargeted metabolomics profiling of maternal blood collected during pregnancy (Healthy Start Cohort)-Part 1,Homo sapiens,LC-MS,2630,2022-09-30,2023-10-02,University of Colorado Anschutz Medical Campus
