study_id,repository,accession,public_status,has_metadata,has_codebook,has_data_files,assay_platform,sample_matrix,biospecimen_timing,sample_size,modalities
ST004303,Metabolomics Workbench,ST004303,public,true,true,true,HILIC MS Orbitrap blood,blood,"arms: MIE, SIE; timepoints: 1P, 2P, 4P",19,metabolomics;exercise
ST003807,Metabolomics Workbench,ST003807,public,true,false,true,Reversed phase MS QTOF plasma,plasma,unknown,217,metabolomics;exercise;diet
