metabolite,refmet_name,log2fc,p_value,fdr,neg_log10_p
"1-(phenylsulfonyl)-1,2,3,4,6,10b-hexahydropyrimido[2,1-a]isoindol-6-one","1-(phenylsulfonyl)-1,2,3,4,6,10b-hexahydropyrimido[2,1-a]isoindol-6-one",-0.22810307357040385,0.6038341375105892,0.7138661359014077,0.21908233796183854
L-Pyroglutamic acid,Pyroglutamic acid,0.032705386381605715,0.6387184016176212,0.7517659063287045,0.19469057154223696
DL-α-Aminocaprylic acid,2-Aminocaprylic acid,-0.07849155215435866,0.6445129624980699,0.755244264425051,0.19076834365616055
PC 38:3,PC 38:3,0.027460056595287118,0.6759556681620953,0.7886149461891112,0.17008178586887746
Ortophosphate,Ortophosphate,0.04860687991153306,0.6905910096108777,0.8021712164039017,0.1607790797684946
L-Glutamic acid,Glutamic acid,-0.04143982756402533,0.7013414824670412,0.8082981684447852,0.15407047298809354
L-Cystine,Cystine,-0.15225507310760752,0.7050344450360089,0.8082981684447852,0.1517896646772006
Isocitric acid,Isocitric acid,0.08527000668649097,0.7051370741480398,0.8082981684447852,0.15172645072555
4-QUINOLINECARBOXYLIC ACID,4-Quinolinecarboxylic acid,0.03927156139321921,0.7080205761189283,0.8082981684447852,0.14995412089065432
NP-016582,NP-016582,-0.017520294037377898,0.7121374167935349,0.8095237302011978,0.14743619513167885
Imidazolelactic acid,Imidazolelactic acid,-0.01505798147514806,0.7179993423213773,0.812714149180793,0.14387595356595526
D-(+)-Pipecolinic acid,Pipecolic acid,0.007701820248889727,0.7451140152835417,0.839831898582297,0.12777726762770045
1-Aminocyclohexanecarboxylic acid,1-Azaniumylcyclohexane-1-carboxylate,0.028114059010534327,0.7502217963556665,0.8420210878928578,0.12481032235074413
Nicotinamide,Niacinamide,0.06758740103846793,0.7680983579366277,0.8573543668001758,0.11458316333565133
2-Oxoglutaric acid,2-Oxoglutaric acid,0.016431931389491103,0.7703296754332407,0.8573543668001758,0.11332337147715715
Methyl isonicotinate,Methyl isonicotinate,0.027819463778978815,0.7781697073421572,0.8624714256375576,0.10892567945647015
FA 26:1,Hexacosenoic acid,0.028935409134824584,0.7869934277182032,0.8686317500956102,0.10402889447401822
Palmitoyl sphingomyelin,SM 18:1;O2/16:0,-0.0119185184312177,0.806391480388353,0.8827442963722653,0.09345406924164486
Palmitoleic acid,Palmitoleic acid,0.009855897607828948,0.8064167820242873,0.8827442963722653,0.09344044287188173
γ-Linolenic acid,gamma-Linolenic acid,-0.008488249920665792,0.8206858398090435,0.8946821040541213,0.08582305987009896
N-Methyl-2-pyrrolidone,N-Methylpyrrolidin-2-one,0.028699167367226563,0.8398972024673186,0.9118883912502316,0.07577386528712585
ST 28:1;O;S,ST 28:1;O;S,0.012628750627443596,0.8461132486436447,0.9149029436553231,0.07257150460945594
Oleoyl ethanolamide,Oleoyl-EA,-0.009293978719201328,0.8583591235461406,0.9243867484343052,0.06633097235739385
Succinic acid,Succinic acid,0.013493628990519039,0.8624168277215418,0.9250115974755247,0.06428277799765603
2-Aminoadipic acid,alpha-Aminoadipic acid,-0.016699936357440867,0.8724999076515505,0.9296926032756336,0.05923461033603081
ST 29:1;O;S,ST 29:1;O;S,-0.008362899373673901,0.8737712436801067,0.9296926032756336,0.05860225227528602
L-(+)-Citrulline,Citrulline,-0.010920361976354686,0.884074116797775,0.9369072313474428,0.05351132416454896
Ecgonine,Ecgonine,-0.003382844673453178,0.8929252866266825,0.9425322469948315,0.049184878136320276
3-Hydroxyvaleric acid,3-Hydroxyvaleric acid,-0.005456166916409967,0.9069596254754572,0.9535622939781486,0.04241204571112529
FA 9:0+1O,Pelargonic acid,-0.011171689034491214,0.9126320815983263,0.9557485578943102,0.039704268615920794
Kynurenic acid,Kynurenic acid,-0.0100722012891653,0.9318841519006144,0.9691918094017079,0.030638074038161784
Taurine,Taurine,0.005718188447253574,0.9346620399657919,0.9691918094017079,0.02934539523491935
5-Nitro-o-toluidine,5-Nitro-o-toluidine,0.006295699670221734,0.9454138929257119,0.9691918094017079,0.024378019997308747
4-Pyridoxic acid,4-Pyridoxic acid,0.005787129124119909,0.9486801654212295,0.9691918094017079,0.022880179358349743
Proline,Proline,-0.004647006945461198,0.9494413223261936,0.9691918094017079,0.022531870502945847
Erucamide,13Z-Docosenamide,-0.0200180818906671,0.9501703813898178,0.9691918094017079,0.02219851148726884
Methylimidazoleacetic acid,Methylimidazoleacetic acid,0.002788854236761258,0.9541617176832742,0.9691918094017079,0.020378011935999963
5-[4-(phenylsulfonyl)phenyl]-1H-pyrazole,5-[4-(phenylsulfonyl)phenyl]-1H-pyrazole,-0.01922036010044493,0.9555960109358634,0.9691918094017079,0.019725671848235916
LPC 20:4-SN1,LPC 20:4/0:0,-0.003347941543948258,0.9582610747092074,0.9691918094017079,0.018516152864317924
2-Ethylhexanoic acid,alpha-Ethylcaproic acid,0.007641598517654184,0.9693048503144381,0.9730132716378898,0.013539614086663735
4-Oxoproline,4-Oxo-proline,-0.0014894752043356394,0.969355327007672,0.9730132716378898,0.013516998726222968
L-Cysteine-S-sulfate,Cysteine-S-sulfate,0.007741747017081161,0.9771633510073424,0.9771633510073424,0.010032829821556281
