study_id,title,doi,pmid,human,exercise,actigraphy,metabolomics,genetics,cpet,body_composition,diet,repository_accession,notes
ST004303,Exercise intensity modulates the human plasma secretome and interorgan communication,,,true,true,false,true,false,false,false,false,ST004303,Live MW record. Species=Homo sapiens. The Rockefeller University.
ST003807,A lipidomic exploration of the effects of high-intensity interval exercise in healthy men after metformin intake,,,true,true,false,true,false,false,false,true,ST003807,Live MW record. Species=Homo sapiens. University CEU San Pablo.
